#multi:
	mass A		mass B		mass C		mass D		mass E		
t	x	y	x	y	x	y	x	y	x	y	
0.000000E0	-7.915140E0	1.397924E1	-4.249095E1	-1.415220E1	2.864790E1	-1.497660E1	3.887332E0	-3.342493E1	-3.103744E1	6.887005E0
3.448276E-2	-7.951888E0	1.394029E1	-4.242438E1	-1.409109E1	2.855417E1	-1.505016E1	3.885355E0	-3.342711E1	-3.108270E1	6.783472E0
6.896552E-2	-7.954411E0	1.399349E1	-4.242171E1	-1.390924E1	2.865523E1	-1.497235E1	3.858508E0	-3.359290E1	-3.107977E1	6.691704E0
1.034483E-1	-8.082094E0	1.410083E1	-4.245450E1	-1.374253E1	2.868003E1	-1.487561E1	3.880422E0	-3.351087E1	-3.112146E1	6.597719E0
1.379310E-1	-8.094713E0	1.408488E1	-4.233012E1	-1.369017E1	2.862076E1	-1.501907E1	3.983524E0	-3.363459E1	-3.107183E1	6.533925E0
1.724138E-1	-8.287379E0	1.394328E1	-4.238970E1	-1.365168E1	2.859698E1	-1.509776E1	3.989559E0	-3.353214E1	-3.107548E1	6.661902E0
2.068966E-1	-8.146673E0	1.390777E1	-4.249847E1	-1.366230E1	2.863291E1	-1.501134E1	3.904174E0	-3.348935E1	-3.114084E1	6.723262E0
2.413793E-1	-8.246805E0	1.394883E1	-4.256323E1	-1.359343E1	2.862780E1	-1.512254E1	3.889222E0	-3.360228E1	-3.120112E1	6.846489E0
2.758621E-1	-8.298976E0	1.392561E1	-4.260276E1	-1.353637E1	2.872073E1	-1.506662E1	3.981995E0	-3.376127E1	-3.130695E1	6.672419E0
3.103448E-1	-8.218991E0	1.416266E1	-4.267605E1	-1.355588E1	2.874245E1	-1.503094E1	3.909371E0	-3.365596E1	-3.140981E1	6.685096E0
3.448276E-1	-8.280916E0	1.423461E1	-4.271447E1	-1.358962E1	2.880487E1	-1.512073E1	3.865348E0	-3.357212E1	-3.148418E1	6.621952E0
3.793103E-1	-8.387639E0	1.431584E1	-4.273357E1	-1.364719E1	2.876054E1	-1.507219E1	3.810995E0	-3.359427E1	-3.162677E1	6.483649E0
4.137931E-1	-8.379340E0	1.424327E1	-4.267634E1	-1.362114E1	2.882118E1	-1.492333E1	3.900893E0	-3.352610E1	-3.179570E1	6.401005E0
4.482759E-1	-8.380567E0	1.435900E1	-4.269865E1	-1.365483E1	2.889135E1	-1.504137E1	3.865619E0	-3.356895E1	-3.188698E1	6.323556E0
4.827586E-1	-8.494388E0	1.453324E1	-4.263738E1	-1.364432E1	2.895449E1	-1.503859E1	3.831443E0	-3.372053E1	-3.192728E1	6.266623E0
5.172414E-1	-8.452718E0	1.458154E1	-4.257534E1	-1.369061E1	2.893316E1	-1.512668E1	3.841456E0	-3.372748E1	-3.191886E1	6.152526E0
5.517241E-1	-8.399528E0	1.466487E1	-4.258038E1	-1.359358E1	2.900108E1	-1.514061E1	3.773317E0	-3.378411E1	-3.197525E1	6.152831E0
5.862069E-1	-8.426235E0	1.462913E1	-4.261207E1	-1.365504E1	2.891446E1	-1.520656E1	3.815506E0	-3.378398E1	-3.202542E1	6.086331E0
6.206897E-1	-8.372430E0	1.468951E1	-4.261667E1	-1.365105E1	2.892953E1	-1.518562E1	3.849087E0	-3.370497E1	-3.211578E1	6.081814E0
6.551724E-1	-8.344868E0	1.473365E1	-4.247595E1	-1.363086E1	2.891586E1	-1.524413E1	3.829687E0	-3.371071E1	-3.210996E1	6.083113E0
6.896552E-1	-8.473772E0	1.463182E1	-4.234870E1	-1.365218E1	2.893398E1	-1.524330E1	3.814068E0	-3.376247E1	-3.218381E1	5.915255E0
7.241379E-1	-8.577933E0	1.447685E1	-4.223279E1	-1.379415E1	2.891484E1	-1.528666E1	3.760851E0	-3.365420E1	-3.213735E1	5.964233E0
7.586207E-1	-8.553963E0	1.452669E1	-4.223089E1	-1.370994E1	2.897122E1	-1.529432E1	3.654545E0	-3.363641E1	-3.234055E1	5.869965E0
7.931034E-1	-8.542413E0	1.463283E1	-4.210036E1	-1.376317E1	2.903144E1	-1.534531E1	3.826656E0	-3.383253E1	-3.243112E1	5.886160E0
8.275862E-1	-8.444354E0	1.461343E1	-4.208970E1	-1.366444E1	2.896808E1	-1.525750E1	3.831565E0	-3.389028E1	-3.232742E1	5.862847E0
8.620690E-1	-8.540108E0	1.456017E1	-4.215619E1	-1.374810E1	2.903935E1	-1.537371E1	3.908845E0	-3.390929E1	-3.230456E1	5.781463E0
8.965517E-1	-8.584653E0	1.453218E1	-4.212406E1	-1.367409E1	2.917015E1	-1.526440E1	3.907711E0	-3.388230E1	-3.233525E1	5.917537E0
9.310345E-1	-8.680731E0	1.457848E1	-4.211630E1	-1.357934E1	2.926013E1	-1.518419E1	3.862197E0	-3.376101E1	-3.235624E1	5.992062E0
9.655172E-1	-8.696465E0	1.471658E1	-4.213524E1	-1.357263E1	2.918133E1	-1.527923E1	3.912445E0	-3.380075E1	-3.232322E1	5.998967E0
1.000000E0	-8.659873E0	1.474098E1	-4.214267E1	-1.364026E1	2.905110E1	-1.517210E1	3.920194E0	-3.376651E1	-3.237790E1	6.093809E0
1.034483E0	-8.643224E0	1.467037E1	-4.220170E1	-1.368677E1	2.907247E1	-1.516843E1	3.933216E0	-3.373961E1	-3.235197E1	6.037544E0
1.068966E0	-8.600215E0	1.468737E1	-4.215101E1	-1.367115E1	2.909441E1	-1.528036E1	3.951920E0	-3.377161E1	-3.229902E1	6.032045E0
1.103448E0	-8.589814E0	1.465138E1	-4.213248E1	-1.364665E1	2.908810E1	-1.522455E1	3.981158E0	-3.372968E1	-3.230725E1	6.091419E0
1.137931E0	-8.548549E0	1.454441E1	-4.225305E1	-1.369244E1	2.908417E1	-1.530443E1	3.988395E0	-3.372797E1	-3.232949E1	6.075879E0
1.172414E0	-8.558253E0	1.455616E1	-4.238617E1	-1.369864E1	2.896888E1	-1.533502E1	3.954605E0	-3.367918E1	-3.236805E1	5.977956E0
1.206897E0	-8.484936E0	1.462317E1	-4.236799E1	-1.371405E1	2.894255E1	-1.525660E1	4.089066E0	-3.360935E1	-3.238996E1	6.020035E0
1.241379E0	-8.384971E0	1.457227E1	-4.233775E1	-1.370845E1	2.890569E1	-1.521778E1	4.070419E0	-3.369012E1	-3.241867E1	6.011306E0
1.275862E0	-8.422948E0	1.461607E1	-4.232930E1	-1.372069E1	2.884993E1	-1.525187E1	4.151441E0	-3.374370E1	-3.244371E1	5.936599E0
1.310345E0	-8.339625E0	1.458371E1	-4.235488E1	-1.371296E1	2.865599E1	-1.518541E1	4.164365E0	-3.376113E1	-3.240039E1	5.906915E0
1.344828E0	-8.380629E0	1.475146E1	-4.231892E1	-1.379122E1	2.868859E1	-1.518025E1	4.042491E0	-3.387858E1	-3.235648E1	5.864333E0
1.379310E0	-8.352421E0	1.487569E1	-4.233668E1	-1.378941E1	2.870272E1	-1.519444E1	3.882264E0	-3.395872E1	-3.235800E1	5.924802E0
1.413793E0	-8.411929E0	1.481177E1	-4.227666E1	-1.381085E1	2.875295E1	-1.511852E1	3.922394E0	-3.414583E1	-3.223856E1	5.879018E0
