Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12	X13	Y13	Flag13	X14	Y14	Flag14	X15	Y15	Flag15	X16	Y16	Flag16	X17	Y17	Flag17	X18	Y18	Flag18	X19	Y19	Flag19	X20	Y20	Flag20	X21	Y21	Flag21	X22	Y22	Flag22	X23	Y23	Flag23	X24	Y24	Flag24	X25	Y25	Flag25	X26	Y26	Flag26	X27	Y27	Flag27	X28	Y28	Flag28	X29	Y29	Flag29	X30	Y30	Flag30	X31	Y31	Flag31	X32	Y32	Flag32	X33	Y33	Flag33	X34	Y34	Flag34	X35	Y35	Flag35	X36	Y36	Flag36	X37	Y37	Flag37	X38	Y38	Flag38	X39	Y39	Flag39	X40	Y40	Flag40	X41	Y41	Flag41	X42	Y42	Flag42	X43	Y43	Flag43	X44	Y44	Flag44	X45	Y45	Flag45	X46	Y46	Flag46	X47	Y47	Flag47	X48	Y48	Flag48	X49	Y49	Flag49	X50	Y50	Flag50	X51	Y51	Flag51	X52	Y52	Flag52	X53	Y53	Flag53	X54	Y54	Flag54	X55	Y55	Flag55	X56	Y56	Flag56	X57	Y57	Flag57	X58	Y58	Flag58	X59	Y59	Flag59	X60	Y60	Flag60	X61	Y61	Flag61	X62	Y62	Flag62	X63	Y63	Flag63	X64	Y64	Flag64	X65	Y65	Flag65	X66	Y66	Flag66	X67	Y67	Flag67	X68	Y68	Flag68	X69	Y69	Flag69	X70	Y70	Flag70	X71	Y71	Flag71	X72	Y72	Flag72	X73	Y73	Flag73	X74	Y74	Flag74	X75	Y75	Flag75	X76	Y76	Flag76	X77	Y77	Flag77	X78	Y78	Flag78
Tracks 1 to 78
10	26.32312	479.69604	 	 	 	 	751.95544	914.99643	 	 	 	 	690.08317	100.70600	 	 	 	 	714.82063	572.00381	 	1190.39853	433.09224	 	 	 	 	1246.64238	1059.92965	 	995.32855	813.45693	 	562.10858	476.96673	 	912.52036	750.35736	 	657.04845	91.59726	 	97.09272	471.65267	 	258.00000	1041.00000	 	400.14971	116.88306	 	893.96755	763.33654	 	491.84982	157.26214	 	460.79870	308.59611	 	601.42847	423.59049	 	849.00000	412.50000	 	64.07013	395.24805	 	 	 	 	903.60131	784.95686	 	992.43178	428.25607	 	986.35328	971.74766	 	256.99045	513.56680	*	212.51685	320.46769	 	599.07407	392.93519	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11	45.52405	475.57215	 	 	 	 	754.26609	916.67382	 	 	 	 	688.04844	97.94810	 	217.71783	527.62528	*	717.71403	571.73713	 	1195.04589	436.37496	 	966.44850	833.28264	*	1246.68451	1058.83272	 	992.76007	810.71978	 	561.96463	475.67363	 	912.20943	751.08726	 	657.07300	91.63813	 	97.13472	471.55245	 	261.00000	1041.00000	 	400.01681	123.10429	 	882.75803	773.15312	 	492.26142	157.32658	 	460.28771	308.46911	 	604.58168	425.67879	 	847.50000	414.00000	 	63.37793	392.42606	 	 	 	 	905.14380	786.38226	 	990.87865	429.18280	 	986.07604	972.08590	 	258.14247	513.66619	 	212.54285	317.29835	 	573.09218	400.47258	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
12	30.95144	473.35592	 	 	 	 	752.39388	915.57554	 	 	 	 	687.61030	98.31845	 	221.51613	552.90323	 	714.22702	570.84808	 	1196.79817	433.35968	 	969.85781	832.61024	 	1248.01512	1059.60815	 	998.06034	814.45796	 	564.49316	474.21777	 	913.16716	749.72252	 	657.07957	91.62511	 	97.41875	471.40814	 	259.50000	1038.00000	 	398.87815	121.36538	 	893.29666	760.62794	 	492.43685	157.48517	 	459.90879	308.12950	 	601.31278	423.30524	 	842.24703	413.65550	 	65.02021	391.55097	 	560.64407	185.16949	*	909.35408	782.78550	 	989.25527	428.83841	 	 	 	 	258.20812	513.25316	 	212.55668	318.32028	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
13	34.00698	471.48093	 	 	 	 	755.09316	916.42015	 	 	 	 	690.50614	98.06610	 	 	 	 	713.69902	571.68100	 	1196.25810	432.95060	 	965.93167	832.94947	 	1248.47408	1058.44121	 	996.70023	813.82805	 	562.11138	477.47942	 	913.23472	749.43541	 	656.94008	91.58239	 	96.94135	471.41597	 	261.00000	1039.50000	 	398.85389	123.44276	 	893.29393	760.77449	 	493.53873	158.48234	 	459.77984	308.08979	 	603.60549	423.68012	 	838.49762	413.27589	 	60.29374	391.20385	 	565.39901	188.46798	 	905.82703	781.45135	 	989.03662	430.71127	 	985.84675	972.16905	*	257.00741	513.57724	 	210.60316	319.35316	 	589.07424	396.31004	*	512.79474	207.38421	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
14	30.35915	473.32042	 	948.49218	799.84482	*	 	 	 	 	 	 	692.96605	95.98138	 	 	 	 	717.43809	570.29509	 	1195.84167	431.42631	 	965.34366	833.57447	 	1249.41141	1057.46286	 	993.49007	793.35099	 	561.78846	477.27515	 	914.30814	749.45831	 	656.87454	91.62424	 	97.20776	471.52080	 	262.50000	1038.00000	 	397.43361	123.98602	 	881.82990	767.38488	 	493.72781	159.00626	 	460.26925	308.19400	 	603.51343	424.44153	 	 	 	 	58.11093	390.96842	 	557.32117	202.22628	 	904.05172	778.90330	 	991.33333	431.96982	 	985.20356	973.01774	 	257.86647	512.43875	 	213.50530	317.93920	 	594.14458	392.25602	 	512.70347	205.00631	 	584.75472	1056.06604	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
15	 	 	 	 	 	 	 	 	 	 	 	 	693.19396	96.79532	 	 	 	 	715.71548	570.22452	 	1195.30204	430.41765	 	 	 	 	1249.08794	1057.62335	 	 	 	 	562.23576	476.04589	 	913.81112	749.61558	 	656.93368	91.59003	 	97.11563	471.52264	 	264.00000	1039.50000	 	397.87706	123.31318	 	893.30556	758.69271	 	493.34953	158.27982	 	459.49607	307.75167	 	603.80998	423.32708	 	836.26291	409.62855	*	58.90684	390.10635	 	 	 	 	904.86341	780.14495	 	990.92375	429.90125	 	983.85101	973.53633	 	258.30977	512.65167	 	214.08639	318.54506	 	597.91701	388.93741	 	513.47541	208.13934	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
16	 	 	 	961.60000	785.82581	*	758.66667	918.55975	*	 	 	 	692.71792	96.77767	 	 	 	 	717.91029	569.02920	 	1196.09038	431.09082	 	 	 	 	1246.96242	1058.50450	 	986.65000	784.95000	*	561.91304	475.72114	 	914.14624	749.49607	 	656.91377	91.61086	 	96.98487	471.45671	 	267.39351	1036.92154	 	399.10155	121.90668	 	 	 	 	492.70120	157.65671	 	458.48440	307.49101	 	603.33152	421.11173	 	830.59344	407.13695	 	57.99821	393.12903	 	557.50388	184.00775	*	902.00714	776.30804	 	992.17970	430.97563	 	 	 	 	258.32232	513.98133	 	209.81299	321.94666	 	594.05498	387.71620	 	505.61538	204.53846	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
17	 	 	 	 	 	 	 	 	 	229.01818	310.00909	*	692.41436	95.26427	 	 	 	 	718.44517	568.74534	 	1195.51182	431.51061	 	998.13048	815.80000	*	1247.03434	1058.51713	 	 	 	 	563.18236	474.04538	 	913.55744	750.01906	 	656.99740	91.58675	 	96.85004	471.47584	 	270.00000	1039.50000	 	398.72208	123.86202	 	883.87379	770.06068	*	492.37040	157.25316	 	458.30581	307.32231	 	602.34592	421.56623	 	829.99781	405.60088	 	57.73794	395.84106	 	554.73592	187.88732	 	 	 	 	995.78269	433.96058	 	985.00478	975.07628	*	258.80938	513.39206	 	210.36992	321.82978	 	595.74889	384.97111	 	503.98047	206.13672	 	 	 	 	983.77843	937.76553	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18	 	 	 	 	 	 	 	 	 	 	 	 	686.26421	96.01841	 	 	 	 	719.07015	569.34840	 	1189.50000	427.50000	 	997.15054	814.69404	 	1247.89355	1059.29300	 	986.98630	784.50000	*	563.51202	473.87660	 	914.61336	749.75102	 	657.12239	91.61178	 	96.84965	471.17626	 	271.50000	1041.00000	 	397.76274	121.98923	 	 	 	 	492.89834	157.86648	 	458.39564	307.34132	 	600.26505	421.32052	 	829.29310	406.43103	 	58.14064	397.33887	 	558.44589	192.37662	 	902.31364	780.01933	*	994.28994	435.03047	 	983.46215	976.60332	 	258.21011	513.91018	 	209.24990	321.98797	 	593.20849	385.95753	 	504.98876	206.75843	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
19	 	 	 	964.27660	785.86809	*	750.99558	907.90265	*	 	 	 	683.45455	101.97851	 	 	 	 	719.69539	568.89316	 	1193.66505	432.06473	 	998.65865	817.84181	 	1248.05755	1059.78935	 	 	 	 	561.35094	475.84390	 	914.86607	750.03220	 	657.12698	91.68701	 	96.85591	471.14233	 	270.00000	1039.50000	 	396.35693	121.77930	 	 	 	 	493.16531	157.93228	 	458.34045	307.43249	 	585.71722	426.40359	 	 	 	 	58.92565	397.86853	 	 	 	 	903.50217	781.98590	 	993.55711	432.60453	 	990.01429	973.76857	 	 	 	 	209.66659	323.07720	 	595.68431	383.63138	 	506.19643	210.34821	 	 	 	 	 	 	 	623.31772	412.42819	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
