Frame	X1	Y1	Flag1
Tracks 1 to 1
1	178.50000	846.00000	 
2	178.50000	846.00000	 
3	178.50000	846.00000	 
4	178.50000	846.00000	 
5	178.50000	846.00000	 
6	178.50000	846.00000	 
7	178.50000	846.00000	 
8	178.50000	846.00000	 
9	178.50000	846.00000	 
10	178.50000	846.00000	 
11	178.50000	846.00000	 
12	178.50000	846.00000	 
13	178.50000	846.00000	 
14	178.50000	846.00000	 
15	178.50000	846.00000	 
16	178.50000	846.00000	 
17	178.50000	846.00000	 
18	178.50000	846.00000	 
19	178.50000	846.00000	 
20	178.50000	846.00000	 
21	178.50000	846.00000	 
22	178.50000	846.00000	 
23	178.50000	846.00000	 
24	178.50000	846.00000	 
25	178.50000	846.00000	 
26	178.50000	846.00000	 
27	178.50000	846.00000	 
28	178.50000	846.00000	 
29	178.50000	846.00000	 
30	178.50000	846.00000	 
31	178.50000	846.00000	 
32	178.50000	846.00000	 
33	178.50000	846.00000	 
34	178.50000	846.00000	 
35	178.50000	846.00000	 
36	178.50000	846.00000	 
37	178.50000	846.00000	 
38	178.50000	846.00000	 
39	178.50000	846.00000	 
40	178.50000	846.00000	 
41	178.50000	846.00000	 
42	178.50000	846.00000	 
43	178.50000	846.00000	 
44	178.50000	846.00000	 
45	178.50000	846.00000	 
46	178.50000	846.00000	 
47	178.50000	846.00000	 
48	178.50000	846.00000	 
49	178.50000	846.00000	 
50	177.00000	844.50000	 
51	178.50000	846.00000	 
52	178.50000	846.00000	 
53	178.50000	846.00000	 
54	178.50000	846.00000	 
55	178.50000	846.00000	 
56	178.50000	846.00000	 
57	178.50000	846.00000	 
58	178.50000	846.00000	 
59	178.50000	846.00000	 
60	178.50000	846.00000	 
61	177.00000	844.50000	 
62	178.50000	846.00000	 
63	178.50000	846.00000	 
64	178.50000	846.00000	 
65	183.00000	849.00000	 
66	178.50000	846.00000	 
67	178.50000	846.00000	 
68	180.00000	846.00000	 
69	178.50000	846.00000	 
70	178.50000	846.00000	 
71	178.50000	846.00000	 
72	178.50000	846.00000	 
73	178.50000	846.00000	 
74	181.50000	847.50000	 
75	180.00000	846.00000	 
76	178.50000	846.00000	 
77	178.50000	846.00000	 
78	178.50000	846.00000	 
79	183.00000	847.50000	 
80	183.00000	847.50000	 
81	183.00000	847.50000	 
82	181.50000	847.50000	 
83	181.50000	847.50000	 
84	183.00000	847.50000	 
85	183.00000	847.50000	 
86	181.50000	847.50000	 
87	183.00000	847.50000	 
88	183.00000	847.50000	 
89	178.50000	846.00000	 
90	178.50000	846.00000	 
91	183.00000	847.50000	 
92	181.50000	847.50000	 
93	183.00000	847.50000	 
94	183.00000	847.50000	 
95	183.00000	847.50000	 
96	183.00000	847.50000	 
97	183.00000	847.50000	 
98	180.00000	846.00000	 
99	183.00000	847.50000	 
100	181.50000	846.00000	 
101	181.50000	846.00000	 
102	183.00000	847.50000	 
103	181.50000	846.00000	 
104	181.50000	846.00000	 
105	183.00000	847.50000	 
106	183.00000	847.50000	 
107	186.00000	849.00000	 
108	187.50000	852.00000	 
109	186.00000	849.00000	 
110	187.50000	852.00000	 
111	187.50000	850.50000	 
112	186.00000	850.50000	 
113	186.00000	850.50000	 
114	186.00000	850.50000	 
115	186.00000	850.50000	 
116	187.50000	850.50000	 
117	187.50000	852.00000	 
118	186.00000	850.50000	 
119	187.50000	852.00000	 
120	186.00000	852.00000	 
121	187.50000	852.00000	 
122	187.50000	852.00000	 
123	186.00000	852.00000	 
124	186.00000	852.00000	 
125	186.00000	852.00000	 
126	180.00000	846.00000	 
127	186.00000	852.00000	 
128	186.00000	852.00000	 
129	186.00000	852.00000	 
130	186.00000	852.00000	 
131	184.50000	850.50000	 
132	184.50000	852.00000	 
133	184.50000	850.50000	 
134	184.50000	850.50000	 
135	184.50000	852.00000	 
136	184.50000	850.50000	 
137	184.50000	850.50000	 
138	186.00000	852.00000	 
139	184.50000	850.50000	 
140	184.50000	850.50000	 
141	184.50000	852.00000	 
142	184.50000	852.00000	 
143	183.00000	850.50000	 
144	183.00000	850.50000	 
145	183.00000	850.50000	 
146	183.00000	852.00000	 
147	183.00000	850.50000	 
148	183.00000	850.50000	 
149	181.50000	850.50000	 
150	183.00000	850.50000	 
151	186.00000	852.00000	 
152	184.50000	852.00000	 
153	183.00000	850.50000	 
154	184.50000	852.00000	 
155	186.00000	852.00000	 
156	184.50000	850.50000	 
157	186.00000	852.00000	 
158	184.50000	850.50000	 
159	186.00000	852.00000	 
160	186.00000	850.50000	 
161	186.00000	852.00000	 
162	186.00000	852.00000	 
163	186.00000	850.50000	 
164	187.50000	852.00000	 
165	187.50000	852.00000	 
166	186.00000	849.00000	 
167	186.00000	852.00000	 
168	186.00000	852.00000	 
169	184.50000	850.50000	 
170	186.00000	852.00000	 
171	186.00000	852.00000	 
172	187.50000	853.50000	 
173	186.00000	852.00000	 
174	186.00000	852.00000	 
175	184.50000	850.50000	 
176	186.00000	852.00000	 
177	186.00000	852.00000	 
178	187.50000	852.00000	 
179	187.50000	852.00000	 
180	186.00000	852.00000	 
181	186.00000	849.00000	 
182	186.00000	852.00000	 
183	186.00000	850.50000	 
184	187.50000	852.00000	 
185	186.00000	852.00000	 
186	184.50000	850.50000	 
187	186.00000	852.00000	 
188	187.50000	852.00000	 
189	186.00000	852.00000	 
190	186.00000	850.50000	 
191	186.00000	849.00000	 
192	186.00000	850.50000	 
193	186.00000	852.00000	 
194	186.00000	849.00000	 
195	186.00000	852.00000	 
196	186.00000	852.00000	 
197	187.50000	852.00000	 
198	186.00000	852.00000	 
199	186.00000	852.00000	 
200	186.00000	852.00000	 
201	187.50000	852.00000	 
202	186.00000	852.00000	 
203	186.00000	852.00000	 
204	186.00000	852.00000	 
205	186.00000	852.00000	 
206	186.00000	852.00000	 
207	186.00000	852.00000	 
208	186.00000	852.00000	 
209	186.00000	852.00000	 
210	186.00000	852.00000	 
211	184.50000	850.50000	 
212	186.00000	852.00000	 
213	186.00000	852.00000	 
214	186.00000	852.00000	 
215	187.50000	850.50000	 
216	186.00000	852.00000	 
217	187.50000	852.00000	 
218	187.50000	852.00000	 
219	186.00000	852.00000	 
220	186.00000	852.00000	 
221	186.00000	852.00000	 
222	186.00000	852.00000	 
223	186.00000	852.00000	 
224	186.00000	852.00000	 
225	186.00000	852.00000	 
226	186.00000	852.00000	 
227	186.00000	852.00000	 
228	186.00000	852.00000	 
229	186.00000	852.00000	 
230	187.50000	852.00000	 
231	186.00000	852.00000	 
232	186.00000	852.00000	 
233	187.50000	853.50000	 
234	186.00000	852.00000	 
235	187.50000	850.50000	 
236	186.00000	852.00000	 
237	186.00000	852.00000	 
238	187.50000	852.00000	 
239	186.00000	850.50000	 
240	187.50000	852.00000	 

Track 	Length	Distance traveled	Nr of Frames
1	247.67852	10.81665	240
