Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6
Tracks 1 to 6
47	 	 	 	271.50000	468.00000	 	880.50000	687.00000	 	1035.00000	787.50000	 	1212.00000	406.50000	 	 	 	 
48	 	 	 	271.50000	468.00000	 	880.50000	687.00000	 	1032.00000	789.00000	 	1212.00000	406.50000	 	 	 	 
49	 	 	 	271.50000	468.00000	 	882.00000	687.00000	 	1032.00000	790.50000	 	1212.00000	406.50000	 	 	 	 
50	 	 	 	271.50000	469.50000	 	882.00000	685.50000	 	1033.50000	790.50000	 	1212.00000	406.50000	 	 	 	 
51	 	 	 	271.50000	471.00000	 	880.50000	687.00000	 	1032.00000	790.50000	 	1210.50000	403.50000	 	 	 	 
52	 	 	 	271.50000	469.50000	 	880.50000	685.50000	 	1033.50000	790.50000	 	1212.00000	403.50000	 	 	 	 
53	 	 	 	271.50000	469.50000	 	882.00000	685.50000	 	1032.00000	790.50000	 	1212.00000	403.50000	 	 	 	 
54	135.59909	842.06654	 	271.50000	469.50000	 	882.00000	685.50000	 	1032.00000	790.50000	 	1212.00000	406.50000	 	 	 	 
55	134.55040	840.78443	 	273.00000	469.50000	 	883.50000	685.50000	 	1032.00000	790.50000	 	1212.00000	408.00000	 	 	 	 
56	130.98194	838.18225	 	271.50000	471.00000	 	882.00000	685.50000	 	1032.00000	789.00000	 	1210.50000	408.00000	 	 	 	 
57	129.97586	838.64719	 	274.50000	468.00000	 	880.50000	685.50000	 	1032.00000	790.50000	 	1212.00000	408.00000	 	 	 	 
58	131.19314	838.86462	 	276.00000	463.50000	 	882.00000	685.50000	 	1033.50000	790.50000	 	1212.00000	406.50000	 	 	 	 
59	134.89647	841.49162	 	271.50000	471.00000	 	882.00000	685.50000	 	1032.00000	789.00000	 	 	 	 	 	 	 
60	138.06894	841.52638	 	271.50000	469.50000	 	880.50000	685.50000	 	1032.00000	789.00000	 	1212.00000	406.50000	*	 	 	 
61	136.34469	840.71932	 	271.50000	471.00000	 	879.00000	687.00000	 	1032.00000	790.50000	 	1212.00000	406.50000	 	 	 	 
62	139.25038	839.42498	 	271.50000	471.00000	 	877.50000	687.00000	 	1030.50000	787.50000	 	1212.00000	405.00000	 	 	 	 
63	 	 	 	271.50000	469.50000	 	879.00000	687.00000	 	1030.50000	789.00000	 	1212.00000	405.00000	 	 	 	 
64	 	 	 	271.50000	469.50000	 	877.50000	687.00000	 	1032.00000	789.00000	 	1212.00000	406.50000	 	 	 	 
65	138.90586	840.97231	*	271.50000	469.50000	 	877.50000	688.50000	 	1032.00000	789.00000	 	 	 	 	 	 	 
66	 	 	 	271.50000	469.50000	 	879.00000	688.50000	 	1030.50000	789.00000	 	1207.50000	406.50000	*	 	 	 
67	 	 	 	271.50000	471.00000	 	882.00000	690.00000	 	1029.00000	789.00000	 	1207.50000	405.00000	 	 	 	 
68	138.81111	837.63194	*	271.50000	469.50000	 	882.00000	690.00000	 	1030.50000	789.00000	 	 	 	 	 	 	 
69	 	 	 	271.50000	469.50000	 	880.50000	688.50000	 	1033.50000	790.50000	 	1210.50000	403.50000	*	 	 	 
70	 	 	 	271.50000	469.50000	 	879.00000	688.50000	 	1033.50000	790.50000	 	 	 	 	 	 	 
71	133.98745	835.08033	*	271.50000	469.50000	 	880.50000	687.00000	 	1030.50000	790.50000	 	1210.50000	403.50000	*	 	 	 
72	132.44594	833.31611	 	271.50000	469.50000	 	880.50000	685.50000	 	1030.50000	790.50000	 	1210.50000	403.50000	 	 	 	 
73	133.15300	834.52578	 	271.50000	469.50000	 	879.00000	685.50000	 	1030.50000	792.00000	 	 	 	 	 	 	 
74	133.95142	831.09584	 	271.50000	469.50000	 	879.00000	685.50000	 	1030.50000	792.00000	 	 	 	 	 	 	 
75	133.74570	829.98094	 	271.50000	468.00000	 	879.00000	685.50000	 	1029.00000	790.50000	 	 	 	 	 	 	 
76	136.17312	831.64689	 	271.50000	471.00000	 	879.00000	687.00000	 	1029.00000	790.50000	 	1207.50000	406.50000	*	 	 	 
77	132.59721	833.83992	 	270.00000	472.50000	 	879.00000	687.00000	 	1030.50000	790.50000	 	1207.50000	405.00000	 	 	 	 
78	134.30889	832.15540	 	271.50000	471.00000	 	877.50000	687.00000	 	1030.50000	790.50000	 	1207.50000	403.50000	 	 	 	 
79	137.83854	831.87500	 	270.00000	472.50000	 	877.50000	687.00000	 	1030.50000	789.00000	 	1207.50000	403.50000	 	 	 	 
80	 	 	 	271.50000	472.50000	 	879.00000	685.50000	 	1029.00000	789.00000	 	1207.50000	405.00000	 	 	 	 
81	 	 	 	270.00000	472.50000	 	879.00000	688.50000	 	1027.50000	790.50000	 	 	 	 	 	 	 
82	 	 	 	273.00000	469.50000	 	879.00000	688.50000	 	1027.50000	790.50000	 	 	 	 	 	 	 
83	 	 	 	276.00000	465.00000	 	879.00000	688.50000	 	1027.50000	790.50000	 	1208.67114	395.32819	*	 	 	 
84	 	 	 	274.50000	462.00000	 	879.00000	690.00000	 	1029.00000	790.50000	 	 	 	 	 	 	 
85	 	 	 	276.00000	463.50000	 	880.50000	690.00000	 	1029.00000	790.50000	 	1210.50000	408.00000	*	 	 	 
86	 	 	 	273.00000	468.00000	 	882.00000	690.00000	 	1029.00000	790.50000	 	1209.00000	408.00000	 	 	 	 
87	140.76055	831.25241	 	270.00000	472.50000	 	880.50000	690.00000	 	1030.50000	789.00000	 	1209.00000	406.50000	 	 	 	 
88	140.33919	834.72635	 	276.00000	466.50000	 	880.50000	687.00000	 	1032.00000	790.50000	 	1210.50000	406.50000	 	 	 	 
89	 	 	 	274.50000	465.00000	 	882.00000	685.50000	 	1033.50000	790.50000	 	1209.00000	405.00000	 	 	 	 
90	138.89052	831.58748	*	273.00000	468.00000	 	883.50000	685.50000	 	1033.50000	790.50000	 	1209.00000	403.50000	 	 	 	 
91	135.58312	829.26887	 	274.50000	468.00000	 	883.50000	685.50000	 	1033.50000	790.50000	 	1210.50000	402.00000	 	 	 	 
92	132.51468	830.11244	 	273.00000	469.50000	 	882.00000	685.50000	 	1033.50000	792.00000	 	1212.00000	405.00000	 	 	 	 
93	131.35299	830.82853	 	273.00000	469.50000	 	883.50000	685.50000	 	1035.00000	790.50000	 	 	 	 	 	 	 
94	130.91435	831.28166	 	273.00000	469.50000	 	882.00000	685.50000	 	1035.00000	790.50000	 	1209.84141	395.22341	*	 	 	 
95	129.30591	829.04247	 	273.00000	474.00000	 	883.50000	685.50000	 	1035.00000	789.00000	 	1209.00000	403.50000	 	 	 	 
96	130.51552	830.47084	 	273.00000	474.00000	 	883.50000	685.50000	 	1033.50000	789.00000	 	 	 	 	 	 	 
97	129.75193	829.81083	 	273.00000	469.50000	 	883.50000	687.00000	 	1033.50000	787.50000	 	 	 	 	 	 	 
98	 	 	 	274.50000	472.50000	 	882.00000	685.50000	 	1033.50000	787.50000	 	1209.00000	406.50000	*	 	 	 
99	 	 	 	271.50000	469.50000	 	882.00000	685.50000	 	1033.50000	787.50000	 	1209.00000	406.50000	 	 	 	 
100	 	 	 	274.50000	471.00000	 	882.00000	685.50000	 	1033.50000	787.50000	 	 	 	 	 	 	 
101	 	 	 	273.00000	469.50000	 	882.00000	685.50000	 	1033.50000	786.00000	 	1210.50000	406.50000	*	 	 	 
102	 	 	 	274.50000	474.00000	 	880.50000	687.00000	 	1033.50000	784.50000	 	1207.50000	408.00000	 	 	 	 
103	 	 	 	274.50000	474.00000	 	880.50000	687.00000	 	1032.00000	784.50000	 	1209.00000	408.00000	 	 	 	 
104	 	 	 	273.00000	472.50000	 	880.50000	687.00000	 	1030.50000	786.00000	 	1207.50000	408.00000	 	 	 	 
105	 	 	 	273.00000	474.00000	 	880.50000	688.50000	 	1030.50000	787.50000	 	1207.50000	408.00000	 	 	 	 
106	 	 	 	273.00000	474.00000	 	879.00000	687.00000	 	1030.50000	786.00000	 	1209.00000	406.50000	 	 	 	 
107	 	 	 	271.50000	477.00000	 	880.50000	687.00000	 	1032.00000	786.00000	 	 	 	 	 	 	 
108	 	 	 	271.50000	474.00000	 	879.00000	687.00000	 	1030.50000	786.00000	 	1207.50000	405.00000	*	 	 	 
109	 	 	 	274.50000	474.00000	 	880.50000	687.00000	 	1030.50000	784.50000	 	1209.00000	405.00000	 	 	 	 
110	 	 	 	274.50000	474.00000	 	882.00000	685.50000	 	1030.50000	784.50000	 	1207.50000	405.00000	 	 	 	 
111	 	 	 	274.50000	474.00000	 	879.00000	687.00000	 	1030.50000	784.50000	 	1207.50000	406.50000	 	 	 	 
112	 	 	 	276.00000	474.00000	 	879.00000	688.50000	 	1030.50000	784.50000	 	 	 	 	 	 	 
113	 	 	 	276.00000	474.00000	 	879.00000	688.50000	 	1030.50000	784.50000	 	 	 	 	 	 	 
114	 	 	 	276.00000	469.50000	 	877.50000	687.00000	 	1030.50000	786.00000	 	 	 	 	 	 	 
115	142.70076	840.42519	 	277.50000	469.50000	 	877.50000	688.50000	 	1029.00000	786.00000	 	 	 	 	 	 	 
116	142.45474	839.88301	 	276.00000	466.50000	 	877.50000	687.00000	 	1030.50000	786.00000	 	 	 	 	 	 	 
117	140.91493	840.68685	 	276.00000	468.00000	 	879.00000	688.50000	 	1030.50000	786.00000	 	 	 	 	 	 	 
118	140.95817	840.59547	 	274.50000	468.00000	 	880.50000	687.00000	 	1030.50000	789.00000	 	 	 	 	 	 	 
119	139.42275	838.72722	 	276.00000	469.50000	 	880.50000	687.00000	 	1029.00000	787.50000	 	 	 	 	 	 	 
120	140.53215	837.93570	 	276.00000	468.00000	 	880.50000	685.50000	 	1029.00000	786.00000	 	 	 	 	 	 	 
121	141.00414	836.56606	 	274.50000	469.50000	 	882.00000	685.50000	 	1030.50000	784.50000	 	 	 	 	 	 	 
122	140.85795	831.23081	 	276.00000	471.00000	 	882.00000	685.50000	 	1032.00000	786.00000	 	 	 	 	 	 	 
123	140.84474	830.17957	 	276.00000	469.50000	 	880.50000	685.50000	 	1032.00000	784.50000	 	 	 	 	 	 	 
124	140.08130	830.99352	 	276.00000	469.50000	 	880.50000	685.50000	 	1030.50000	784.50000	 	 	 	 	 	 	 
125	140.03466	830.87937	 	276.00000	468.00000	 	882.00000	685.50000	 	1030.50000	786.00000	 	 	 	 	 	 	 
126	139.70577	829.29469	 	276.00000	468.00000	 	880.50000	685.50000	 	1032.00000	784.50000	 	 	 	 	 	 	 
127	138.95836	828.81653	 	276.00000	466.50000	 	879.00000	685.50000	 	1032.00000	786.00000	 	 	 	 	 	 	 
128	140.28412	828.24830	 	274.50000	466.50000	 	880.50000	687.00000	 	1030.50000	786.00000	 	 	 	 	 	 	 
129	140.62548	829.28213	 	273.00000	465.00000	 	880.50000	687.00000	 	1030.50000	784.50000	 	 	 	 	 	 	 
130	140.69862	830.58233	 	271.50000	466.50000	 	879.00000	687.00000	 	1030.50000	786.00000	 	 	 	 	 	 	 
131	139.48392	830.83179	 	273.00000	468.00000	 	879.00000	687.00000	 	1033.50000	786.00000	 	 	 	 	 	 	 
132	141.31290	832.86352	 	273.00000	466.50000	 	879.00000	687.00000	 	1032.00000	787.50000	 	 	 	 	 	 	 
133	141.72800	835.40094	 	270.00000	466.50000	 	880.50000	688.50000	 	1033.50000	787.50000	 	 	 	 	 	 	 
134	141.14893	835.90869	 	268.50000	466.50000	 	882.00000	688.50000	 	1032.00000	787.50000	 	 	 	 	 	 	 
135	142.65205	836.77449	 	271.50000	468.00000	 	882.00000	688.50000	 	1032.00000	787.50000	 	 	 	 	 	 	 
136	 	 	 	273.00000	469.50000	 	882.00000	688.50000	 	1032.00000	787.50000	 	 	 	 	 	 	 
137	 	 	 	271.50000	468.00000	 	883.50000	687.00000	 	1030.50000	787.50000	 	 	 	 	 	 	 
138	 	 	 	270.00000	471.00000	 	882.00000	688.50000	 	1030.50000	787.50000	 	 	 	 	 	 	 
139	 	 	 	271.50000	469.50000	 	883.50000	688.50000	 	1030.50000	787.50000	 	 	 	 	 	 	 
140	 	 	 	271.50000	469.50000	 	883.50000	687.00000	 	1029.00000	789.00000	 	 	 	 	 	 	 
141	 	 	 	273.00000	469.50000	 	883.50000	688.50000	 	1029.00000	787.50000	 	 	 	 	 	 	 
142	 	 	 	273.00000	468.00000	 	882.00000	687.00000	 	1029.00000	789.00000	 	 	 	 	 	 	 
143	 	 	 	273.00000	469.50000	 	883.50000	688.50000	 	1029.00000	787.50000	 	 	 	 	 	 	 
144	 	 	 	271.50000	468.00000	 	882.00000	688.50000	 	1030.50000	789.00000	 	 	 	 	 	 	 
145	 	 	 	271.50000	468.00000	 	882.00000	688.50000	 	1030.50000	787.50000	 	 	 	 	 	 	 
146	 	 	 	271.50000	469.50000	 	882.00000	688.50000	 	1030.50000	787.50000	 	 	 	 	 	 	 
147	 	 	 	270.00000	469.50000	 	883.50000	688.50000	 	1030.50000	787.50000	 	 	 	 	 	 	 
148	 	 	 	271.50000	468.00000	 	883.50000	688.50000	 	1030.50000	787.50000	 	 	 	 	 	 	 
149	 	 	 	273.00000	469.50000	 	883.50000	688.50000	 	1032.00000	787.50000	 	 	 	 	 	 	 
150	 	 	 	273.00000	468.00000	 	883.50000	688.50000	 	1033.50000	786.00000	 	 	 	 	 	 	 
151	 	 	 	273.00000	465.00000	 	883.50000	688.50000	 	1033.50000	786.00000	 	 	 	 	 	 	 
152	 	 	 	271.50000	465.00000	 	885.00000	688.50000	 	1033.50000	786.00000	 	 	 	 	 	 	 
153	 	 	 	270.00000	466.50000	 	885.00000	690.00000	 	1033.50000	786.00000	 	 	 	 	 	 	 
154	118.61081	832.01088	 	270.00000	466.50000	 	885.00000	688.50000	 	1035.00000	786.00000	 	 	 	 	 	 	 
