Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12
Tracks 1 to 12
25	1003.50000	610.50000	 	696.00000	703.50000	 	1234.50000	534.00000	*	744.00000	462.00000	 	406.50000	243.00000	 	1347.00000	987.00000	 	546.00000	318.00000	 	246.00000	444.00000	 	 	 	 	 	 	 	 	 	 	 	 	 
26	1000.50000	610.50000	 	694.50000	705.00000	 	1237.50000	537.00000	 	742.50000	462.00000	 	408.00000	241.50000	 	1348.50000	991.50000	 	546.00000	316.50000	 	243.00000	441.00000	 	 	 	 	 	 	 	 	 	 	 	 	 
27	999.00000	612.00000	 	694.50000	700.50000	 	 	 	 	747.00000	463.50000	 	406.50000	241.50000	 	1348.50000	990.00000	 	546.00000	318.00000	 	243.00000	442.50000	 	 	 	 	 	 	 	 	 	 	 	 	 
28	997.50000	613.50000	 	696.00000	699.00000	 	1234.50000	534.00000	*	745.50000	463.50000	 	406.50000	241.50000	 	1348.50000	991.50000	 	544.50000	321.00000	 	246.00000	441.00000	 	 	 	 	 	 	 	 	 	 	 	 	 
29	997.50000	615.00000	 	696.00000	702.00000	 	1239.00000	540.00000	 	744.00000	463.50000	 	407.25000	243.00000	 	1350.00000	990.00000	 	546.00000	322.50000	 	244.50000	439.50000	 	 	 	 	 	 	 	 	 	 	 	 	 
30	999.00000	613.50000	 	697.50000	702.00000	 	1240.50000	541.50000	 	741.00000	465.00000	 	409.50000	246.00000	 	1351.50000	993.00000	 	544.50000	322.50000	 	249.00000	438.00000	 	 	 	 	 	 	 	 	 	 	 	 	 
31	1000.50000	609.00000	 	696.00000	697.50000	 	1243.50000	543.00000	 	740.25000	466.50000	 	408.00000	246.00000	 	1350.00000	993.00000	 	543.00000	322.50000	 	250.50000	438.00000	 	 	 	 	 	 	 	 	 	 	 	 	 
32	997.50000	610.50000	 	696.00000	697.50000	 	1243.50000	543.00000	 	738.00000	466.50000	 	406.50000	250.50000	 	1348.50000	993.00000	 	541.50000	324.00000	 	249.00000	439.50000	 	 	 	 	 	 	 	 	 	 	 	 	 
33	996.00000	612.00000	 	697.50000	699.00000	 	1246.50000	543.00000	 	738.00000	465.00000	 	408.00000	250.50000	 	1348.50000	988.50000	 	541.50000	324.00000	 	247.50000	438.00000	 	 	 	 	 	 	 	 	 	 	 	 	 
34	996.00000	610.50000	 	696.00000	694.50000	 	1248.00000	541.50000	 	738.00000	462.00000	 	409.50000	255.00000	 	1348.50000	988.50000	 	540.00000	324.00000	 	250.50000	436.50000	 	 	 	 	 	 	 	 	 	 	 	 	 
35	996.00000	612.00000	 	696.00000	696.00000	 	1249.50000	540.00000	 	736.50000	460.50000	 	408.00000	256.50000	 	1347.00000	990.00000	 	538.50000	322.50000	 	247.50000	441.00000	 	 	 	 	 	 	 	 	 	 	 	 	 
36	993.00000	615.00000	 	702.00000	700.50000	 	1252.50000	538.50000	 	738.00000	463.50000	 	408.00000	258.00000	 	1347.00000	993.00000	 	540.00000	324.00000	 	250.80943	443.49601	 	 	 	 	 	 	 	 	 	 	 	 	 
37	996.00000	616.50000	 	702.00000	702.00000	 	1254.00000	537.00000	 	741.00000	460.50000	 	408.00000	255.00000	 	1348.50000	993.00000	 	541.50000	324.00000	 	250.19613	444.55249	 	 	 	 	 	 	 	 	 	 	 	 	 
38	994.50000	613.50000	 	702.00000	702.00000	 	1249.50000	537.00000	 	742.50000	463.50000	 	405.00000	252.00000	 	1347.00000	991.50000	 	540.00000	328.50000	 	246.00000	445.50000	 	 	 	 	 	 	 	 	 	 	 	 	 
39	996.00000	612.00000	 	699.00000	697.50000	 	1252.50000	541.50000	 	742.50000	462.00000	 	408.00000	252.00000	 	1347.00000	990.00000	 	541.50000	328.50000	 	246.00000	445.50000	 	 	 	 	 	 	 	 	 	 	 	 	 
40	994.50000	610.50000	 	702.00000	696.00000	 	1249.50000	541.50000	 	745.50000	462.00000	 	406.50000	250.50000	 	1351.50000	991.50000	 	540.00000	327.00000	 	246.00000	445.50000	 	 	 	 	 	 	 	 	 	 	 	 	 
41	994.50000	609.00000	 	705.00000	694.50000	 	1254.00000	540.00000	 	745.50000	460.50000	 	405.00000	252.00000	 	1354.50000	987.00000	 	543.00000	328.50000	 	243.00000	447.00000	 	 	 	 	 	 	 	 	 	 	 	 	 
42	994.50000	607.50000	 	703.50000	699.00000	 	1255.50000	541.50000	 	747.00000	462.00000	 	403.50000	253.50000	 	1356.00000	990.00000	 	543.00000	331.50000	 	244.50000	447.00000	 	 	 	 	 	 	 	 	 	 	 	 	 
43	996.00000	607.50000	 	705.00000	697.50000	 	1258.50000	538.50000	 	745.50000	462.00000	 	403.50000	252.00000	 	1356.00000	988.50000	 	543.00000	330.00000	 	244.50000	445.50000	 	 	 	 	 	 	 	 	 	 	 	 	 
44	996.00000	609.00000	 	703.50000	699.00000	 	1260.00000	535.50000	 	745.50000	463.50000	 	402.00000	250.50000	 	1354.50000	987.00000	 	543.00000	330.00000	 	240.00000	444.00000	 	 	 	 	 	 	 	 	 	 	 	 	 
45	993.00000	610.50000	 	703.50000	699.00000	 	1264.50000	535.50000	 	747.00000	463.50000	 	402.00000	252.00000	 	1354.50000	987.00000	 	546.00000	331.50000	 	238.50000	444.00000	 	 	 	 	 	 	 	 	 	 	 	 	 
46	994.50000	609.00000	 	699.00000	700.50000	 	1264.50000	538.50000	 	744.00000	466.50000	 	402.00000	250.50000	 	1353.00000	987.00000	 	550.50000	333.00000	 	241.50000	445.50000	 	 	 	 	 	 	 	 	 	 	 	 	 
47	996.00000	610.50000	 	700.50000	705.00000	 	1264.50000	535.50000	 	747.00000	466.50000	 	402.00000	252.00000	 	1351.50000	985.50000	 	552.00000	334.50000	 	243.00000	447.00000	 	 	 	 	 	 	 	 	 	 	 	 	 
48	997.50000	613.50000	 	702.00000	705.00000	 	1264.50000	535.50000	 	745.50000	466.50000	 	405.00000	252.00000	 	1351.50000	985.50000	 	550.50000	334.50000	 	241.50000	448.50000	 	 	 	 	 	 	 	 	 	 	 	 	 
49	997.50000	613.50000	 	702.00000	706.50000	 	1266.00000	531.00000	 	745.50000	468.00000	 	406.50000	253.50000	 	1354.50000	987.00000	 	550.50000	336.00000	 	243.00000	447.00000	 	 	 	 	 	 	 	 	 	 	 	 	 
50	997.19286	614.22922	 	703.50000	706.50000	 	1266.00000	531.00000	 	744.00000	466.50000	 	405.00000	253.50000	 	1353.00000	988.50000	 	549.00000	337.50000	 	244.50000	445.50000	 	 	 	 	 	 	 	 	 	 	 	 	 
51	996.00000	615.00000	 	702.00000	705.00000	 	1266.00000	534.00000	 	741.00000	465.00000	 	405.00000	253.50000	 	1353.00000	991.50000	 	550.50000	336.00000	 	243.00000	444.00000	 	 	 	 	 	 	 	 	 	 	 	 	 
52	997.50000	618.00000	 	702.00000	706.50000	 	1267.50000	531.00000	 	741.00000	462.00000	 	405.00000	255.00000	 	1351.50000	993.00000	 	550.50000	337.50000	 	244.50000	444.00000	 	 	 	 	 	 	 	 	 	 	 	 	 
53	997.50000	615.00000	 	702.00000	705.00000	 	1267.50000	531.00000	 	742.50000	462.00000	 	405.00000	255.00000	 	1353.00000	990.00000	 	550.50000	337.50000	 	249.00000	441.00000	 	 	 	 	 	 	 	 	 	 	 	 	 
54	999.00000	615.00000	 	700.50000	705.00000	 	1266.00000	532.50000	 	741.00000	463.50000	 	406.50000	256.50000	 	1353.00000	990.00000	 	549.00000	337.50000	 	250.50000	438.00000	 	 	 	 	 	 	 	 	 	 	 	 	 
55	996.00000	613.50000	 	700.50000	702.00000	 	1267.50000	534.00000	 	744.00000	462.00000	 	409.50000	258.00000	 	1354.50000	987.00000	 	547.50000	337.50000	 	246.00000	435.00000	 	 	 	 	 	 	 	 	 	 	 	 	 
56	999.00000	612.00000	 	699.00000	702.00000	 	1264.50000	535.50000	 	744.00000	463.50000	 	409.50000	258.00000	 	1354.50000	987.00000	 	544.50000	336.00000	 	246.00000	436.50000	 	 	 	 	 	 	 	 	 	 	 	 	 
57	999.00000	610.50000	 	699.00000	699.00000	 	1266.00000	535.50000	 	748.50000	468.00000	 	408.00000	261.00000	 	1354.50000	988.50000	 	544.50000	336.00000	 	247.50000	435.00000	 	 	 	 	 	 	 	 	 	 	 	 	 
58	997.50000	610.50000	 	699.00000	699.00000	 	1269.00000	538.50000	 	748.50000	468.00000	 	406.50000	262.50000	 	1354.50000	987.00000	 	543.00000	337.50000	 	247.50000	438.00000	 	 	 	 	 	 	 	 	 	 	 	 	 
59	997.50000	610.50000	 	702.00000	699.00000	 	1267.50000	534.00000	 	750.00000	468.00000	 	409.50000	262.50000	 	1353.00000	987.00000	 	541.50000	336.00000	 	247.50000	441.00000	 	 	 	 	 	 	 	 	 	 	 	 	 
60	999.00000	610.50000	 	700.50000	700.50000	 	1266.00000	534.00000	 	750.00000	471.00000	 	408.00000	264.00000	 	1353.00000	987.00000	 	543.00000	337.50000	 	246.00000	441.00000	 	1158.00000	547.50000	 	 	 	 	 	 	 	 	 	 
61	999.00000	610.50000	 	702.00000	699.00000	 	1264.50000	534.00000	 	751.50000	471.00000	 	412.50000	265.50000	 	1356.00000	988.50000	 	543.00000	340.50000	 	247.50000	441.00000	 	1164.00000	547.50000	 	 	 	 	 	 	 	 	 	 
62	999.00000	609.00000	 	702.00000	697.50000	 	1269.00000	537.00000	 	748.50000	469.50000	 	414.00000	268.50000	 	1354.50000	987.00000	 	541.50000	339.00000	 	249.00000	439.50000	 	1162.50000	546.00000	 	 	 	 	 	 	 	 	 	 
63	999.00000	609.00000	 	700.50000	699.00000	 	1269.00000	535.50000	 	745.50000	469.50000	 	415.50000	268.50000	 	1353.00000	984.00000	 	543.00000	339.00000	 	249.00000	438.00000	 	1161.00000	549.00000	 	 	 	 	 	 	 	 	 	 
64	999.00000	609.00000	 	702.00000	700.50000	 	1269.00000	532.50000	 	745.50000	471.00000	 	415.50000	271.50000	 	1353.00000	984.00000	 	544.50000	336.00000	 	252.00000	439.50000	 	1164.00000	550.50000	 	 	 	 	 	 	 	 	 	 
65	999.00000	610.50000	 	697.50000	697.50000	 	1270.50000	531.00000	 	744.00000	472.50000	 	420.00000	273.00000	 	1350.00000	985.50000	 	546.00000	336.00000	 	250.50000	441.00000	 	1162.50000	550.50000	 	 	 	 	 	 	 	 	 	 
66	997.50000	610.50000	 	702.00000	700.50000	 	1269.00000	531.00000	 	745.50000	471.00000	 	418.50000	274.50000	 	1350.00000	985.50000	 	543.00000	334.50000	 	250.50000	441.00000	 	1164.00000	553.50000	 	 	 	 	 	 	 	 	 	 
67	997.50000	615.00000	 	702.00000	702.00000	 	1269.00000	531.00000	 	744.00000	472.50000	 	418.50000	271.50000	 	1347.00000	987.00000	 	543.00000	333.00000	 	249.00000	439.50000	 	1164.00000	552.00000	 	 	 	 	 	 	 	 	 	 
68	997.50000	613.50000	 	703.50000	702.00000	 	1269.00000	528.00000	 	744.00000	474.00000	 	423.00000	274.50000	 	1345.50000	988.50000	 	544.50000	336.00000	 	247.50000	439.50000	 	1162.50000	552.00000	 	 	 	 	 	 	 	 	 	 
69	997.50000	612.00000	 	699.00000	697.50000	 	1269.00000	528.00000	 	747.00000	475.50000	 	421.50000	276.00000	 	1347.00000	988.50000	 	546.00000	336.00000	 	250.50000	439.50000	 	1164.00000	553.50000	 	 	 	 	 	 	 	 	 	 
70	996.00000	612.00000	 	697.50000	697.50000	 	1269.00000	528.00000	 	750.00000	475.50000	 	423.00000	274.50000	 	1348.50000	988.50000	 	546.00000	336.00000	 	247.50000	439.50000	 	1164.00000	553.50000	 	 	 	 	 	 	 	 	 	 
71	999.00000	613.50000	 	702.00000	700.50000	 	1267.50000	529.50000	 	750.00000	477.00000	 	423.00000	274.50000	 	1351.50000	991.50000	 	549.00000	334.50000	 	246.00000	438.00000	 	1167.00000	555.00000	 	 	 	 	 	 	 	 	 	 
72	997.50000	616.50000	 	697.50000	699.00000	 	1270.50000	529.50000	 	751.50000	477.00000	 	421.50000	276.00000	 	1353.00000	990.00000	 	547.50000	331.50000	 	250.50000	435.00000	 	1168.50000	549.00000	 	 	 	 	 	 	 	 	 	 
73	999.00000	613.50000	 	697.50000	699.00000	 	1266.00000	529.50000	 	751.50000	477.00000	 	421.50000	276.00000	 	1354.50000	991.50000	 	549.00000	333.00000	 	249.00000	433.50000	 	1168.50000	549.00000	 	 	 	 	 	 	 	 	 	 
74	1002.00000	613.50000	 	697.50000	699.00000	 	1270.50000	529.50000	 	750.00000	474.00000	 	424.50000	277.50000	 	1356.00000	988.50000	 	547.50000	330.00000	 	247.50000	436.50000	 	1171.50000	549.00000	 	 	 	 	 	 	 	 	 	 
75	1002.00000	612.00000	 	696.00000	696.00000	 	1270.50000	528.00000	 	750.00000	474.00000	 	421.50000	271.50000	 	1356.00000	988.50000	 	547.50000	330.00000	 	252.00000	438.00000	 	1170.00000	547.50000	 	 	 	 	 	 	 	 	 	 
76	1005.00000	612.00000	 	696.00000	702.00000	 	1270.50000	528.00000	 	750.00000	471.00000	 	424.50000	273.00000	 	1357.50000	990.00000	 	547.50000	336.00000	 	252.00000	438.00000	 	1168.50000	550.50000	 	 	 	 	 	 	 	 	 	 
77	1005.00000	610.50000	 	694.50000	700.50000	 	1270.50000	528.00000	 	753.00000	469.50000	 	421.50000	270.00000	 	1359.00000	990.00000	 	547.50000	334.50000	 	249.00000	439.50000	 	1168.50000	552.00000	 	 	 	 	 	 	 	 	 	 
78	1006.50000	612.00000	 	694.50000	702.00000	 	1267.50000	531.00000	 	756.00000	474.00000	 	421.50000	271.50000	 	1360.50000	990.00000	 	549.00000	334.50000	 	246.00000	436.50000	 	1168.50000	553.50000	 	 	 	 	 	 	 	 	 	 
79	1008.00000	610.50000	 	697.50000	702.00000	 	1267.50000	532.50000	 	757.50000	474.00000	 	424.50000	268.50000	 	1362.00000	988.50000	 	546.00000	331.50000	 	246.00000	441.00000	 	1171.50000	553.50000	 	 	 	 	 	 	 	 	 	 
80	1008.00000	612.00000	 	694.50000	702.00000	 	1267.50000	531.00000	 	759.00000	474.00000	 	423.00000	271.50000	 	1357.50000	990.00000	 	546.00000	328.50000	 	243.00000	441.00000	 	1168.50000	555.00000	 	 	 	 	 	 	 	 	 	 
81	1009.50000	612.00000	 	694.50000	703.50000	 	1270.50000	531.00000	 	760.50000	474.00000	 	420.00000	271.50000	 	1367.05794	982.01455	 	547.50000	330.00000	 	247.50000	441.00000	 	1171.50000	549.00000	 	 	 	 	 	 	 	 	 	 
82	1009.50000	612.00000	 	694.50000	703.50000	 	1269.00000	528.00000	 	762.00000	477.00000	 	420.00000	271.50000	 	1368.61798	981.20844	 	547.50000	333.00000	 	244.50000	441.00000	 	1171.85400	553.40031	 	 	 	 	 	 	 	 	 	 
83	1008.00000	615.00000	 	696.00000	702.00000	 	1269.00000	529.50000	 	759.00000	474.00000	 	418.50000	271.50000	 	1366.50000	982.50000	 	546.00000	328.50000	 	246.00000	441.00000	 	1173.00000	552.00000	 	 	 	 	 	 	 	 	 	 
84	1009.50000	615.00000	 	700.50000	702.00000	 	1269.00000	529.50000	 	762.00000	477.00000	 	420.00000	273.00000	 	1366.50000	982.50000	 	543.00000	330.00000	 	243.00000	441.00000	 	1174.50000	552.00000	 	 	 	 	 	 	 	 	 	 
85	1009.50000	613.50000	 	700.50000	702.00000	 	1272.00000	531.00000	 	763.50000	478.50000	 	421.50000	271.50000	 	 	 	 	544.50000	330.00000	 	241.50000	441.00000	 	1171.50000	553.50000	 	 	 	 	 	 	 	 	 	 
86	1013.84509	610.44711	 	697.50000	696.00000	 	1267.50000	529.50000	 	763.50000	478.50000	 	423.00000	273.00000	 	1366.50000	979.50000	*	544.50000	330.00000	 	243.00000	442.50000	 	1174.50000	552.00000	 	 	 	 	 	 	 	 	 	 
87	1009.50000	610.50000	 	700.50000	697.50000	 	1269.00000	531.00000	 	763.50000	480.00000	 	424.50000	273.00000	 	1366.50000	979.50000	 	547.50000	330.00000	 	243.00000	438.00000	 	1173.00000	553.50000	 	 	 	 	 	 	 	 	 	 
88	1009.50000	612.00000	 	699.00000	697.50000	 	1270.50000	531.00000	 	763.50000	478.50000	 	429.00000	273.00000	 	1368.00000	978.00000	 	547.50000	330.00000	 	246.00000	441.00000	 	1173.00000	552.00000	 	 	 	 	 	 	 	 	 	 
