Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8
Tracks 1 to 8
32	999.00000	627.00000	 	733.50000	487.50000	 	787.50000	301.50000	 	540.00000	724.50000	 	552.00000	405.00000	 	1102.50000	504.00000	 	468.00000	108.00000	 	669.00000	628.50000	 
33	997.50000	630.00000	 	735.00000	486.00000	 	784.50000	300.00000	 	540.00000	724.50000	 	550.50000	408.00000	 	1102.50000	507.00000	 	472.50000	111.00000	 	669.00000	624.00000	 
34	996.00000	628.50000	 	732.00000	484.50000	 	783.00000	300.00000	 	538.50000	726.00000	 	550.50000	409.50000	 	1099.50000	508.50000	 	471.00000	111.00000	 	669.00000	625.50000	 
35	996.00000	628.50000	 	730.50000	486.00000	 	781.50000	298.50000	 	540.00000	727.50000	 	549.00000	411.00000	 	1096.50000	510.00000	 	472.50000	111.00000	 	670.50000	625.50000	 
36	994.50000	627.00000	 	729.00000	486.00000	 	786.00000	298.50000	 	540.00000	726.00000	 	549.00000	411.00000	 	1098.00000	510.00000	 	475.50000	108.00000	 	670.50000	631.50000	 
37	997.50000	630.00000	 	727.50000	487.50000	 	790.50000	295.50000	 	538.50000	726.00000	 	547.50000	412.50000	 	1093.50000	510.00000	 	472.50000	103.50000	 	670.50000	628.50000	 
38	997.50000	628.50000	 	726.00000	484.50000	 	790.50000	298.50000	 	538.50000	724.50000	 	547.50000	411.00000	 	1093.50000	511.50000	 	472.50000	100.50000	 	672.00000	625.50000	 
39	996.00000	630.00000	 	729.00000	486.00000	 	795.00000	300.00000	 	544.50000	723.00000	 	546.00000	411.00000	 	1096.50000	510.00000	 	469.50000	102.00000	 	669.00000	624.00000	 
40	996.00000	628.50000	 	730.50000	486.00000	 	795.00000	298.50000	 	543.00000	724.50000	 	549.00000	411.00000	 	1093.50000	507.00000	 	475.50000	100.50000	 	669.00000	622.50000	 
41	993.00000	633.00000	 	729.00000	487.50000	 	798.00000	303.00000	 	543.00000	726.00000	 	555.00000	414.00000	 	1093.50000	510.00000	 	480.00000	99.00000	 	670.50000	622.50000	 
42	996.00000	637.50000	 	726.00000	489.00000	 	795.00000	304.50000	 	540.00000	726.00000	 	558.00000	417.00000	 	1093.50000	511.50000	 	483.00000	99.00000	 	672.00000	624.00000	 
43	994.50000	633.00000	 	727.50000	489.00000	 	795.00000	306.00000	 	540.00000	721.50000	 	558.00000	417.00000	 	1093.50000	510.00000	 	484.50000	99.00000	 	669.00000	625.50000	 
44	991.50000	631.50000	 	726.00000	486.00000	 	796.50000	304.50000	 	537.00000	715.50000	 	558.00000	420.00000	 	1093.50000	511.50000	 	481.50000	99.00000	 	669.00000	627.00000	 
45	990.00000	633.00000	 	726.00000	483.00000	 	795.00000	304.50000	 	540.00000	715.50000	 	559.50000	424.50000	 	1089.00000	513.00000	 	481.50000	97.50000	 	667.50000	628.50000	 
46	990.00000	628.50000	 	723.00000	478.50000	 	795.00000	304.50000	 	538.50000	715.50000	 	556.50000	427.50000	 	1090.50000	511.50000	 	481.50000	94.50000	 	669.00000	625.50000	 
47	990.00000	628.50000	 	720.00000	478.50000	 	798.00000	303.00000	 	538.50000	717.00000	 	555.00000	426.00000	 	1087.50000	516.00000	 	481.50000	93.00000	 	667.50000	628.50000	 
48	990.00000	627.00000	 	717.00000	475.50000	 	796.50000	303.00000	 	538.50000	717.00000	 	558.00000	427.50000	 	1089.00000	517.50000	 	481.50000	94.50000	 	670.50000	628.50000	 
49	987.00000	630.00000	 	720.00000	478.50000	 	795.00000	304.50000	 	537.00000	717.00000	 	556.50000	426.00000	 	1086.00000	517.50000	 	481.50000	93.00000	 	672.00000	630.00000	 
50	987.00000	630.00000	 	718.50000	481.50000	 	796.50000	307.50000	 	537.00000	715.50000	 	556.50000	427.50000	 	1092.00000	516.00000	 	478.50000	97.50000	 	672.00000	630.00000	 
51	985.50000	627.00000	 	715.50000	481.50000	 	796.50000	310.50000	 	535.50000	715.50000	 	553.50000	429.00000	 	1087.50000	514.50000	 	481.50000	96.00000	 	673.50000	634.50000	 
52	985.50000	628.50000	 	712.50000	484.50000	 	796.50000	313.50000	 	532.50000	718.50000	 	555.00000	429.00000	 	1089.00000	513.00000	 	483.00000	97.50000	 	672.00000	634.50000	 
53	982.50000	630.00000	 	714.00000	481.50000	 	796.50000	313.50000	 	532.50000	715.50000	 	556.50000	432.00000	 	1089.00000	511.50000	 	484.50000	96.00000	 	675.00000	633.00000	 
54	981.00000	630.00000	 	717.00000	478.50000	 	799.50000	316.50000	 	531.00000	714.00000	 	556.50000	433.50000	 	1092.00000	508.50000	 	484.50000	99.00000	 	679.50000	633.00000	 
55	982.50000	627.00000	 	721.50000	481.50000	 	796.50000	318.00000	 	535.50000	714.00000	 	559.50000	433.50000	 	1090.50000	510.00000	 	484.50000	97.50000	 	681.00000	634.50000	 
56	987.00000	622.50000	 	720.00000	481.50000	 	795.00000	321.00000	 	537.00000	715.50000	 	559.50000	436.50000	 	1089.00000	510.00000	 	487.50000	96.00000	 	684.00000	634.50000	 
57	981.00000	622.50000	 	720.00000	484.50000	 	795.00000	319.50000	 	540.00000	714.00000	 	558.00000	435.00000	 	1089.00000	514.50000	 	489.00000	96.00000	 	687.00000	637.50000	 
58	978.00000	621.00000	 	720.00000	483.00000	 	796.50000	316.50000	 	538.50000	714.00000	 	561.00000	433.50000	 	1090.50000	516.00000	 	490.50000	99.00000	 	687.00000	642.00000	 
59	978.00000	619.50000	 	721.50000	483.00000	 	798.00000	318.00000	 	541.50000	714.00000	 	561.00000	432.00000	 	1086.00000	516.00000	 	487.50000	97.50000	 	687.00000	642.00000	 
60	976.50000	621.00000	 	724.50000	484.50000	 	796.50000	321.00000	 	547.50000	714.00000	 	562.50000	433.50000	 	1086.00000	516.00000	 	487.50000	99.00000	 	684.00000	640.50000	 
61	979.50000	628.50000	 	723.00000	484.50000	 	798.00000	321.00000	 	549.00000	712.50000	 	564.00000	432.00000	 	1084.50000	516.00000	 	487.50000	103.50000	 	685.50000	639.00000	 
62	975.00000	628.50000	 	723.00000	486.00000	 	798.00000	324.00000	 	546.00000	711.00000	 	564.00000	433.50000	 	1081.50000	513.00000	 	484.50000	102.00000	 	685.50000	637.50000	 
63	973.50000	625.50000	 	724.50000	484.50000	 	796.50000	325.50000	 	544.50000	712.50000	 	565.50000	432.00000	 	1080.00000	513.00000	 	483.00000	102.00000	 	684.00000	637.50000	 
64	979.50000	628.50000	 	721.50000	486.00000	 	798.00000	325.50000	 	544.50000	712.50000	 	565.50000	432.00000	 	1083.00000	511.50000	 	484.50000	100.50000	 	687.00000	643.50000	 
65	975.00000	630.00000	 	724.50000	490.50000	 	799.50000	328.50000	 	547.50000	711.00000	 	564.00000	430.50000	 	1080.00000	508.50000	 	487.50000	97.50000	 	687.00000	646.50000	 
66	976.50000	634.50000	 	724.50000	489.00000	 	799.50000	328.50000	 	546.00000	705.00000	 	565.50000	430.50000	 	1081.50000	508.50000	 	489.00000	97.50000	 	685.50000	649.50000	 
67	975.00000	640.50000	 	721.50000	484.50000	 	795.00000	330.00000	 	544.50000	702.00000	 	565.50000	433.50000	 	1078.50000	513.00000	 	489.00000	99.00000	 	685.50000	649.50000	 
68	975.00000	639.00000	 	726.00000	486.00000	 	793.50000	331.50000	 	544.50000	703.50000	 	568.50000	435.00000	 	1081.50000	513.00000	 	492.00000	99.00000	 	682.50000	654.00000	 
69	975.00000	640.50000	 	724.50000	487.50000	 	796.50000	333.00000	 	544.50000	705.00000	 	570.00000	438.00000	 	1078.50000	513.00000	 	493.50000	99.00000	 	684.00000	652.50000	 
70	972.00000	636.00000	 	721.50000	489.00000	 	793.50000	334.50000	 	547.50000	700.50000	 	568.50000	435.00000	 	1077.00000	508.50000	 	496.50000	99.00000	 	690.00000	657.00000	 
71	975.00000	634.50000	 	720.00000	486.00000	 	792.00000	339.00000	 	546.00000	699.00000	 	568.50000	435.00000	 	1072.50000	514.50000	 	495.00000	100.50000	 	691.50000	654.00000	 
72	976.50000	634.50000	 	721.50000	484.50000	 	790.50000	340.50000	 	546.00000	697.50000	 	568.50000	436.50000	 	1071.00000	519.00000	 	498.00000	102.00000	 	691.50000	655.50000	 
