Frame	X4	Y4	Flag4	X6	Y6	Flag6	X7	Y7	Flag7	X5	Y5	Flag5	X3	Y3	Flag3	X2	Y2	Flag2	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12	X1	Y1	Flag1	X8	Y8	Flag8
22	879.3976	420.7754	0	989.8779	594.7096	0	75.0000	357.0000	0	172.5000	640.5000	0	980.9932	585.8860	0	994.6483	571.1014	0	861.7308	438.7179	0	880.5576	399.3695	0	1247.2897	1054.1667	0									
23	875.5163	416.4107	0	991.8083	596.8551	0	71.6464	361.4191	0	174.0000	640.5000	0	981.1439	585.4379	0	994.1252	569.0526	0	861.8224	435.7430	0	887.1765	399.5911	0	1242.7217	1061.5130	0									
24	875.4204	415.7021	0	992.2798	596.9465	0	71.3893	361.8479	0	172.5000	640.5000	0	981.1841	585.5181	0	995.5961	571.4020	0	864.0000	435.4545	0	879.4848	400.7931	0												
25	874.9392	415.4449	0	989.2224	592.9000	0	73.0770	360.6558	0	174.0000	640.5000	0	980.9831	586.0708	0	995.8733	571.8242	0	861.3225	431.7642	0															
26	878.6476	418.2391	0	988.5161	592.3710	0	74.8939	357.6868	0	174.0000	640.5000	0	980.7682	585.5979	0	994.6986	570.0877	0	862.7625	428.0619	0															
27	880.6614	419.3955	0	988.9549	592.6784	0	74.1753	355.4314	0	173.3419	640.0767	0	981.0747	585.6349	0	993.8615	568.1277	0	862.5358	427.9931	0															
28	879.8719	419.4733	0	988.3500	591.8297	0	74.2588	354.8924	0	174.9938	639.9329	0	981.0344	585.7129	0	993.9111	567.4607	0																		
29	879.8947	419.3715	0	988.6839	589.6194	0	75.4780	353.3363	0	175.5002	639.8722	0	981.1062	585.9099	0	994.1039	568.9692	0																		
30	880.1217	419.9093	0	990.6196	589.6024	0	75.5571	352.9665	0	171.7566	639.3137	0	981.1808	585.6445	0	994.4022	570.9719	0																		
31	873.0751	412.7463	0	989.8451	591.7402	0	75.7226	352.8274	0	166.5000	639.0000	0	980.4931	586.0709	0	993.6909	567.1897	0																		
32	873.2013	413.3805	0	991.1495	593.3519	0	77.5628	352.7976	0	171.8537	639.7494	0	980.6891	586.0996	0	993.3197	565.8872	0																		
33	874.3130	413.8125	0	989.1470	589.3762	0	75.8632	359.8490	0	172.2193	639.8181	0	981.2174	585.4959	0	993.6039	565.2472	0																		
34	874.1498	413.7495	0	991.0607	589.2078	0	75.2948	363.8679	0	176.3140	639.7461	0	981.2136	585.3653	0	994.3005	562.6373	0																		
35	874.6041	414.2122	0	994.9040	587.8614	0	75.8967	363.4359	0	172.6446	640.2264	0	981.0941	585.6335	0	994.5362	561.8116	0																		
36	874.2297	414.5338	0	995.6537	587.4874	0	74.4996	363.2300	0	176.1303	639.6254	0	980.7539	586.1106	0	994.2622	562.5366	0																		
