Frame	X5	Y5	Flag5	X4	Y4	Flag4	X2	Y2	Flag2	X3	Y3	Flag3	X6	Y6	Flag6	X1	Y1	Flag1	X8	Y8	Flag8	X9	Y9	Flag9	X7	Y7	Flag7
29	187.5000	1021.5000	0	336.0000	381.0000	0	690.0000	412.5000	0	436.5000	769.5000	0	1065.0000	472.5000	0	1242.0000	439.5000	0	16.5000	573.0000	0						
30	187.5000	1018.5000	0	337.5000	384.0000	0	690.0000	414.0000	0	436.5000	769.5000	0	1065.0000	472.5000	0	1240.5000	439.5000	0	16.5000	573.0000	0						
31	189.0000	1020.0000	0	337.5000	381.0000	0	691.5000	414.0000	0	436.5000	768.0000	0	1066.5000	472.5000	0	1242.0000	439.5000	0	16.5000	573.0000	0						
32	189.0000	1020.0000	0	339.0000	382.5000	0	691.5000	414.0000	0	435.0000	768.0000	0	1065.0000	472.5000	0	1243.5000	439.5000	0	16.5000	573.0000	0						
33	190.5000	1023.0000	0	339.0000	382.5000	0	690.0000	414.0000	0	432.0000	768.0000	0	1063.5000	474.0000	0	1245.0000	439.5000	0	18.0000	571.5000	0						
34	193.5000	1023.0000	0	337.5000	381.0000	0	690.0000	414.0000	0	435.0000	768.0000	0	1063.5000	474.0000	0	1245.0000	439.5000	0	21.3013	571.7163	0						
35	193.5000	1023.0000	0	336.0000	379.5000	0	690.0000	412.5000	0	435.0000	768.0000	0	1063.5000	474.0000	0	1245.0000	441.0000	0	20.2299	572.0003	0						
36	186.7515	1017.9814	0	334.5000	382.5000	0	691.5000	414.0000	0	435.0000	768.0000	0	1065.0000	475.5000	0	1243.5000	441.0000	0	20.0054	572.4779	0						
37	187.0936	1017.6474	0	337.5000	382.5000	0	691.5000	414.0000	0	436.5000	768.0000	0	1065.0000	474.0000	0	1245.0000	441.0000	0	15.0000	574.5000	0						
38	190.5000	1023.0000	0	337.5000	379.5000	0	693.0000	414.0000	0	433.5000	769.5000	0	1065.0000	474.0000	0	1245.0000	439.5000	0	16.5000	573.0000	0						
39	190.5000	1021.5000	0	339.0000	382.5000	0	693.0000	414.0000	0	421.5000	768.0000	0	1065.0000	474.0000	0	1249.5000	441.0000	0	15.0000	573.0000	0						
40	189.0000	1021.5000	0	339.0000	384.0000	0	693.0000	415.5000	0	433.5000	769.5000	0	1065.0000	475.5000	0	1248.0000	442.5000	0	15.0000	574.5000	0						
41	186.3276	1017.7220	0	336.0000	381.0000	0	691.5000	417.0000	0	433.5000	769.5000	0	1065.0000	475.5000	0	1248.0000	441.0000	0	15.0000	574.5000	0						
