Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8
32	999.0000	627.0000	0	733.5000	487.5000	0	787.5000	301.5000	0	540.0000	724.5000	0	552.0000	405.0000	0	1102.5000	504.0000	0	468.0000	108.0000	0	669.0000	628.5000	0
33	997.5000	630.0000	0	735.0000	486.0000	0	784.5000	300.0000	0	540.0000	724.5000	0	550.5000	408.0000	0	1102.5000	507.0000	0	472.5000	111.0000	0	669.0000	624.0000	0
34	996.0000	628.5000	0	732.0000	484.5000	0	783.0000	300.0000	0	538.5000	726.0000	0	550.5000	409.5000	0	1099.5000	508.5000	0	471.0000	111.0000	0	669.0000	625.5000	0
35	996.0000	628.5000	0	730.5000	486.0000	0	781.5000	298.5000	0	540.0000	727.5000	0	549.0000	411.0000	0	1096.5000	510.0000	0	472.5000	111.0000	0	670.5000	625.5000	0
36	994.5000	627.0000	0	729.0000	486.0000	0	786.0000	298.5000	0	540.0000	726.0000	0	549.0000	411.0000	0	1098.0000	510.0000	0	475.5000	108.0000	0	670.5000	631.5000	0
37	997.5000	630.0000	0	727.5000	487.5000	0	790.5000	295.5000	0	538.5000	726.0000	0	547.5000	412.5000	0	1093.5000	510.0000	0	472.5000	103.5000	0	670.5000	628.5000	0
38	997.5000	628.5000	0	726.0000	484.5000	0	790.5000	298.5000	0	538.5000	724.5000	0	547.5000	411.0000	0	1093.5000	511.5000	0	472.5000	100.5000	0	672.0000	625.5000	0
39	996.0000	630.0000	0	729.0000	486.0000	0	795.0000	300.0000	0	544.5000	723.0000	0	546.0000	411.0000	0	1096.5000	510.0000	0	469.5000	102.0000	0	669.0000	624.0000	0
40	996.0000	628.5000	0	730.5000	486.0000	0	795.0000	298.5000	0	543.0000	724.5000	0	549.0000	411.0000	0	1093.5000	507.0000	0	475.5000	100.5000	0	669.0000	622.5000	0
41	993.0000	633.0000	0	729.0000	487.5000	0	798.0000	303.0000	0	543.0000	726.0000	0	555.0000	414.0000	0	1093.5000	510.0000	0	480.0000	99.0000	0	670.5000	622.5000	0
42	996.0000	637.5000	0	726.0000	489.0000	0	795.0000	304.5000	0	540.0000	726.0000	0	558.0000	417.0000	0	1093.5000	511.5000	0	483.0000	99.0000	0	672.0000	624.0000	0
43	994.5000	633.0000	0	727.5000	489.0000	0	795.0000	306.0000	0	540.0000	721.5000	0	558.0000	417.0000	0	1093.5000	510.0000	0	484.5000	99.0000	0	669.0000	625.5000	0
44	991.5000	631.5000	0	726.0000	486.0000	0	796.5000	304.5000	0	537.0000	715.5000	0	558.0000	420.0000	0	1093.5000	511.5000	0	481.5000	99.0000	0	669.0000	627.0000	0
45	990.0000	633.0000	0	726.0000	483.0000	0	795.0000	304.5000	0	540.0000	715.5000	0	559.5000	424.5000	0	1089.0000	513.0000	0	481.5000	97.5000	0	667.5000	628.5000	0
46	990.0000	628.5000	0	723.0000	478.5000	0	795.0000	304.5000	0	538.5000	715.5000	0	556.5000	427.5000	0	1090.5000	511.5000	0	481.5000	94.5000	0	669.0000	625.5000	0
47	990.0000	628.5000	0	720.0000	478.5000	0	798.0000	303.0000	0	538.5000	717.0000	0	555.0000	426.0000	0	1087.5000	516.0000	0	481.5000	93.0000	0	667.5000	628.5000	0
48	990.0000	627.0000	0	717.0000	475.5000	0	796.5000	303.0000	0	538.5000	717.0000	0	558.0000	427.5000	0	1089.0000	517.5000	0	481.5000	94.5000	0	670.5000	628.5000	0
49	987.0000	630.0000	0	720.0000	478.5000	0	795.0000	304.5000	0	537.0000	717.0000	0	556.5000	426.0000	0	1086.0000	517.5000	0	481.5000	93.0000	0	672.0000	630.0000	0
50	987.0000	630.0000	0	718.5000	481.5000	0	796.5000	307.5000	0	537.0000	715.5000	0	556.5000	427.5000	0	1092.0000	516.0000	0	478.5000	97.5000	0	672.0000	630.0000	0
51	985.5000	627.0000	0	715.5000	481.5000	0	796.5000	310.5000	0	535.5000	715.5000	0	553.5000	429.0000	0	1087.5000	514.5000	0	481.5000	96.0000	0	673.5000	634.5000	0
52	985.5000	628.5000	0	712.5000	484.5000	0	796.5000	313.5000	0	532.5000	718.5000	0	555.0000	429.0000	0	1089.0000	513.0000	0	483.0000	97.5000	0	672.0000	634.5000	0
53	982.5000	630.0000	0	714.0000	481.5000	0	796.5000	313.5000	0	532.5000	715.5000	0	556.5000	432.0000	0	1089.0000	511.5000	0	484.5000	96.0000	0	675.0000	633.0000	0
54	981.0000	630.0000	0	717.0000	478.5000	0	799.5000	316.5000	0	531.0000	714.0000	0	556.5000	433.5000	0	1092.0000	508.5000	0	484.5000	99.0000	0	679.5000	633.0000	0
55	982.5000	627.0000	0	721.5000	481.5000	0	796.5000	318.0000	0	535.5000	714.0000	0	559.5000	433.5000	0	1090.5000	510.0000	0	484.5000	97.5000	0	681.0000	634.5000	0
56	987.0000	622.5000	0	720.0000	481.5000	0	795.0000	321.0000	0	537.0000	715.5000	0	559.5000	436.5000	0	1089.0000	510.0000	0	487.5000	96.0000	0	684.0000	634.5000	0
57	981.0000	622.5000	0	720.0000	484.5000	0	795.0000	319.5000	0	540.0000	714.0000	0	558.0000	435.0000	0	1089.0000	514.5000	0	489.0000	96.0000	0	687.0000	637.5000	0
58	978.0000	621.0000	0	720.0000	483.0000	0	796.5000	316.5000	0	538.5000	714.0000	0	561.0000	433.5000	0	1090.5000	516.0000	0	490.5000	99.0000	0	687.0000	642.0000	0
59	978.0000	619.5000	0	721.5000	483.0000	0	798.0000	318.0000	0	541.5000	714.0000	0	561.0000	432.0000	0	1086.0000	516.0000	0	487.5000	97.5000	0	687.0000	642.0000	0
60	976.5000	621.0000	0	724.5000	484.5000	0	796.5000	321.0000	0	547.5000	714.0000	0	562.5000	433.5000	0	1086.0000	516.0000	0	487.5000	99.0000	0	684.0000	640.5000	0
61	979.5000	628.5000	0	723.0000	484.5000	0	798.0000	321.0000	0	549.0000	712.5000	0	564.0000	432.0000	0	1084.5000	516.0000	0	487.5000	103.5000	0	685.5000	639.0000	0
62	975.0000	628.5000	0	723.0000	486.0000	0	798.0000	324.0000	0	546.0000	711.0000	0	564.0000	433.5000	0	1081.5000	513.0000	0	484.5000	102.0000	0	685.5000	637.5000	0
63	973.5000	625.5000	0	724.5000	484.5000	0	796.5000	325.5000	0	544.5000	712.5000	0	565.5000	432.0000	0	1080.0000	513.0000	0	483.0000	102.0000	0	684.0000	637.5000	0
64	979.5000	628.5000	0	721.5000	486.0000	0	798.0000	325.5000	0	544.5000	712.5000	0	565.5000	432.0000	0	1083.0000	511.5000	0	484.5000	100.5000	0	687.0000	643.5000	0
65	975.0000	630.0000	0	724.5000	490.5000	0	799.5000	328.5000	0	547.5000	711.0000	0	564.0000	430.5000	0	1080.0000	508.5000	0	487.5000	97.5000	0	687.0000	646.5000	0
66	976.5000	634.5000	0	724.5000	489.0000	0	799.5000	328.5000	0	546.0000	705.0000	0	565.5000	430.5000	0	1081.5000	508.5000	0	489.0000	97.5000	0	685.5000	649.5000	0
67	975.0000	640.5000	0	721.5000	484.5000	0	795.0000	330.0000	0	544.5000	702.0000	0	565.5000	433.5000	0	1078.5000	513.0000	0	489.0000	99.0000	0	685.5000	649.5000	0
68	975.0000	639.0000	0	726.0000	486.0000	0	793.5000	331.5000	0	544.5000	703.5000	0	568.5000	435.0000	0	1081.5000	513.0000	0	492.0000	99.0000	0	682.5000	654.0000	0
69	975.0000	640.5000	0	724.5000	487.5000	0	796.5000	333.0000	0	544.5000	705.0000	0	570.0000	438.0000	0	1078.5000	513.0000	0	493.5000	99.0000	0	684.0000	652.5000	0
70	972.0000	636.0000	0	721.5000	489.0000	0	793.5000	334.5000	0	547.5000	700.5000	0	568.5000	435.0000	0	1077.0000	508.5000	0	496.5000	99.0000	0	690.0000	657.0000	0
71	975.0000	634.5000	0	720.0000	486.0000	0	792.0000	339.0000	0	546.0000	699.0000	0	568.5000	435.0000	0	1072.5000	514.5000	0	495.0000	100.5000	0	691.5000	654.0000	0
72	976.5000	634.5000	0	721.5000	484.5000	0	790.5000	340.5000	0	546.0000	697.5000	0	568.5000	436.5000	0	1071.0000	519.0000	0	498.0000	102.0000	0	691.5000	655.5000	0
73	979.5000	633.0000	0	726.0000	486.0000	0	789.0000	339.0000	0	540.0000	694.5000	0	571.5000	435.0000	0	1074.0000	517.5000	0	504.0000	99.0000	0	690.0000	655.5000	0
74	976.5000	636.0000	0	723.0000	487.5000	0	793.5000	339.0000	0	541.5000	696.0000	0	570.0000	436.5000	0	1071.0000	516.0000	0	505.5000	97.5000	0	691.5000	654.0000	0
75	976.5000	633.0000	0	723.0000	483.0000	0	795.0000	340.5000	0	540.0000	699.0000	0	574.5000	436.5000	0	1072.5000	516.0000	0	504.0000	97.5000	0	690.0000	654.0000	0
76	979.5000	633.0000	0	727.5000	483.0000	0	793.5000	343.5000	0	537.0000	696.0000	0	573.0000	433.5000	0	1074.0000	514.5000	0	501.0000	93.0000	0	688.5000	655.5000	0
77	984.0000	634.5000	0	727.5000	481.5000	0	792.0000	345.0000	0	534.0000	693.0000	0	573.0000	432.0000	0	1072.5000	516.0000	0	499.5000	91.5000	0	687.0000	655.5000	0
78	987.0000	633.0000	0	726.0000	481.5000	0	790.5000	346.5000	0	532.5000	693.0000	0	570.0000	433.5000	0	1077.0000	514.5000	0	501.0000	91.5000	0	688.5000	658.5000	0
