condition_id,series,trial,bead_um,solvent_label,solute_pct,eta_mPas,n_segments,n_steps,D_var,D_var_err,D_gauss,D_gauss_err,D_msd,D_var_raw,D_gauss_raw,D_msd_raw,D0,F_min_wall,F_max_wall,D_theory_max,D_theory_min,alpha,alpha_err,classification,dirname
R16,R,4,5.0,100% Ace,100.0,0.32,,,0.0703,0.0035,0.071,0.0035,0.0596,0.0883,0.089,0.0776,0.2693,0.932,0.557,0.2509876,0.1500001,0.604,0.057,Sub-diffusive,r16-5mu-0_5p-20ul-acetone-490-trial4-tracker
R8,R,1,5.0,20% Gly,20.4,1.716,,,0.0301,0.003,0.0329,0.003,0.0248,0.0481,0.0509,0.0428,0.0502,0.932,0.557,0.046786400000000006,0.027961400000000004,0.792,0.015,Sub-diffusive,r8-5mu-0_5p-20ul-water-390ul-gly-100ul-trial1-tracker
R8,R,2,5.0,20% Gly,20.4,1.716,,,0.0,0.0079,0.0,0.0079,0.0,0.0166,0.0091,0.0113,0.0502,0.932,0.557,0.046786400000000006,0.027961400000000004,1.2,0.035,Super-diffusive,r8-5mu-0_5p-20ul-water-390ul-gly-100ul-trial2-tracker
R8,R,3,5.0,20% Gly,20.4,1.716,,,0.0283,0.0013,0.03,0.0013,0.0362,0.0463,0.048,0.0542,0.0502,0.932,0.557,0.046786400000000006,0.027961400000000004,1.439,0.039,Super-diffusive,r8-5mu-0_5p-20ul-water-390ul-gly-100ul-trial3-tracker
R12,R,2,5.0,41% Gly,40.8,3.696,,,0.0,0.003,0.0,0.003,0.0,0.0104,0.0091,0.0091,0.0233,0.932,0.557,0.0217156,0.012978100000000001,1.104,0.018,Super-diffusive,r12-5mu-0_5p-10ul-water-290ul-gly-200ul-trial2-tracker
R12,R,2,5.0,41% Gly,40.8,3.696,,,0.0,0.003,0.0,0.003,0.0,0.0104,0.0091,0.0091,0.0233,0.932,0.557,0.0217156,0.012978100000000001,1.104,0.018,Super-diffusive,r12-5mu-0_5p-20ul-water-290ul-gly-200ul-trial2-tracker
R12,R,3,5.0,41% Gly,40.8,3.696,,,0.0,0.0007,0.0,0.0007,0.0,0.0152,0.0164,0.0108,0.0233,0.932,0.557,0.0217156,0.012978100000000001,1.11,0.012,Super-diffusive,r12-5mu-0_5p-10ul-water-290ul-gly-200ul-trial3-tracker
R12,R,3,5.0,41% Gly,40.8,3.696,,,0.0016,0.0006,0.0004,0.0006,0.0,0.0196,0.0185,0.0164,0.0233,0.932,0.557,0.0217156,0.012978100000000001,0.944,0.011,Normal diffusion,r12-5mu-0_5p-20ul-water-290ul-gly-200ul-trial3-tracker
R4,R,1,5.0,Water,0.0,0.981,3,716,0.0623,0.0094,0.0535,0.0094,,,,,0.0879,0.932,0.557,0.0819228,0.048960300000000005,0.868,0.005,,r4-5mu-0_5p-10ul-water-490ul-gly-0-trial1-tracker
R4,R,2,5.0,Water,0.0,0.981,,,0.0172,0.0009,0.0188,0.0009,0.0067,0.0353,0.0368,0.0247,0.0879,0.932,0.557,0.0819228,0.048960300000000005,0.666,0.018,Sub-diffusive,r4-5mu-0_5p-10ul-water-490ul-gly-0-trial2-tracker
S2,S-slide,1,1.0,20% Gly,20.1,1.699,,,0.1893,0.011,0.1882,0.011,0.2124,0.2073,0.2062,0.2304,0.2537,0.986,0.561,0.2501482,0.1423257,0.698,0.049,Sub-diffusive,s2c-1um-0_5p-11_5ul-water-3978_5ul-gly-1000ul-trial1-tracker
S2,S-slide,2,1.0,20% Gly,20.0,1.695,,,0.248,0.0046,0.2571,0.0046,0.2612,0.266,0.2751,0.2792,0.2543,0.986,0.561,0.2507398,0.14266230000000002,1.157,0.012,Super-diffusive,s2a-1um-0_5p-2_3ul-water-3997ul-gly-1000ul-trial2-tracker
S2,S-slide,2,1.0,20% Gly,20.1,1.699,,,0.1696,0.0107,0.1623,0.0107,0.1635,0.1877,0.1803,0.1815,0.2537,0.986,0.561,0.2501482,0.1423257,0.892,0.05,Sub-diffusive,s2c-1um-0_5p-11_5ul-water-3978_5ul-gly-1000ul-trial2-tracker
S2,S-slide,3,1.0,20% Gly,20.0,1.695,,,0.317,0.0052,0.3066,0.0052,0.3607,0.3351,0.3247,0.3787,0.2543,0.986,0.561,0.2507398,0.14266230000000002,0.848,0.014,Sub-diffusive,s2a-1um-0_5p-2_3ul-water-3997ul-gly-1000ul-trial3-tracker
S2,S-slide,3,1.0,20% Gly,20.1,1.699,3,301,0.2073,0.011,0.2062,0.011,,,,,0.2537,0.986,0.561,0.2501482,0.1423257,1.063,0.006,,s2c-1um-0_5p-11_5ul-water-3978_5ul-gly-1000ul-trial3-tracker
