Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7
Tracks 1 to 7
47	619.50000	538.50000	 	86.44460	245.05722	 	906.00000	687.00000	 	864.00000	150.00000	 	 	 	 	 	 	 	 	 	 
48	621.00000	538.50000	 	86.67475	244.55119	 	906.00000	687.00000	 	864.00000	151.50000	 	 	 	 	 	 	 	 	 	 
49	621.00000	537.00000	 	86.80752	244.79507	 	906.00000	687.00000	 	864.00000	153.00000	 	 	 	 	 	 	 	 	 	 
50	621.00000	537.00000	 	86.97577	243.47129	 	907.50000	685.50000	 	865.50000	151.50000	 	 	 	 	 	 	 	 	 	 
51	619.50000	534.00000	 	87.21351	244.64108	 	907.50000	685.50000	 	868.50000	150.00000	 	 	 	 	 	 	 	 	 	 
52	621.00000	535.50000	 	86.33696	244.16250	 	906.00000	682.50000	 	873.26055	150.79087	 	 	 	 	 	 	 	 	 	 
53	623.15982	547.63399	 	85.96321	244.66109	 	906.00000	681.00000	 	874.18129	149.80518	 	 	 	 	 	 	 	 	 	 
54	622.50000	534.00000	 	85.11279	244.43536	 	906.00000	682.50000	 	876.27613	151.57741	 	 	 	 	 	 	 	 	 	 
55	621.00000	534.00000	 	84.54059	245.09650	 	904.50000	684.00000	 	871.50000	154.50000	 	 	 	 	 	 	 	 	 	 
56	619.50000	532.50000	 	84.50681	244.39836	 	907.50000	682.50000	 	871.50000	151.50000	 	 	 	 	 	 	 	 	 	 
57	619.50000	531.00000	 	83.52492	245.15343	 	907.50000	684.00000	 	870.00000	151.50000	 	 	 	 	 	 	 	 	 	 
58	619.50000	532.50000	 	83.66531	243.86165	 	907.50000	685.50000	 	868.50000	150.00000	 	 	 	 	 	 	 	 	 	 
59	616.50000	531.00000	 	83.75820	242.84044	 	907.50000	685.50000	 	870.00000	148.50000	 	 	 	 	 	 	 	 	 	 
60	616.50000	534.00000	 	82.98845	243.55205	 	909.00000	685.50000	 	871.50000	150.00000	 	 	 	 	 	 	 	 	 	 
61	616.50000	534.00000	 	83.43654	243.74216	 	909.00000	685.50000	 	870.00000	153.00000	 	 	 	 	 	 	 	 	 	 
62	618.00000	532.50000	 	83.96146	243.19543	 	910.50000	684.00000	 	870.00000	153.00000	 	 	 	 	 	 	 	 	 	 
63	618.00000	532.50000	 	84.02754	243.15333	 	910.50000	684.00000	 	870.00000	153.00000	 	 	 	 	 	 	 	 	 	 
64	619.50000	532.50000	 	83.84711	242.76098	 	909.00000	685.50000	 	868.50000	156.00000	 	 	 	 	 	 	 	 	 	 
65	619.50000	532.50000	 	83.56988	243.59651	 	910.50000	685.50000	 	871.50000	156.00000	 	 	 	 	 	 	 	 	 	 
66	621.00000	532.50000	 	83.49098	243.06107	 	913.50000	687.00000	 	868.50000	156.00000	 	 	 	 	 	 	 	 	 	 
67	621.00000	534.00000	 	85.18496	243.13286	 	912.00000	688.50000	 	868.50000	157.50000	 	 	 	 	 	 	 	 	 	 
68	621.00000	534.00000	 	84.85261	242.33161	 	913.50000	688.50000	 	868.50000	157.50000	 	 	 	 	 	 	 	 	 	 
69	621.00000	531.00000	 	85.37521	242.63611	 	912.00000	687.00000	 	868.50000	156.00000	 	 	 	 	 	 	 	 	 	 
70	619.50000	534.00000	 	85.21479	243.41023	 	909.00000	688.50000	 	867.00000	157.50000	 	 	 	 	 	 	 	 	 	 
71	619.50000	532.50000	 	84.52171	242.53253	 	909.00000	687.00000	 	868.50000	157.50000	 	 	 	 	 	 	 	 	 	 
72	616.50000	532.50000	 	84.62756	243.53897	 	909.00000	684.00000	 	868.50000	156.00000	 	 	 	 	 	 	 	 	 	 
73	618.00000	532.50000	 	83.69992	243.96513	 	907.50000	684.00000	 	867.00000	154.50000	 	156.53522	873.30394	 	 	 	 	 	 	 
74	621.63225	542.24363	 	83.36383	243.54934	 	906.00000	687.00000	 	868.50000	157.50000	 	157.33794	872.18810	 	 	 	 	 	 	 
75	621.70361	542.75386	 	83.31607	243.31989	 	903.00000	687.00000	 	870.00000	159.00000	 	158.01886	871.85445	 	 	 	 	 	 	 
76	621.33057	542.36722	 	83.45492	242.42799	 	903.00000	685.50000	 	870.00000	157.50000	 	156.51976	875.39250	 	 	 	 	 	 	 
77	621.15147	542.19666	 	85.76297	242.13627	 	901.50000	685.50000	 	870.00000	156.00000	 	155.65474	875.29920	 	 	 	 	 	 	 
78	621.47674	542.27450	 	86.15930	242.00672	 	903.00000	685.50000	 	870.00000	157.50000	 	157.64778	873.02066	 	 	 	 	 	 	 
79	621.35627	541.56208	 	85.80116	242.55214	 	900.00000	687.00000	 	867.00000	156.00000	 	158.10562	872.84781	 	 	 	 	 	 	 
80	621.54501	542.93315	 	86.09514	241.64399	 	901.50000	685.50000	 	868.50000	159.00000	 	 	 	 	 	 	 	 	 	 
81	622.24763	544.62936	 	85.92094	240.92859	 	901.50000	688.50000	 	868.50000	157.50000	 	157.73762	872.66804	*	 	 	 	 	 	 
82	622.29842	544.38960	 	86.34757	241.16756	 	901.50000	684.00000	 	867.00000	157.50000	 	157.56247	873.39571	 	 	 	 	 	 	 
