Frame	X4	Y4	Flag4	X5	Y5	Flag5	X7	Y7	Flag7	X6	Y6	Flag6	X8	Y8	Flag8	X3	Y3	Flag3	X2	Y2	Flag2	X9	Y9	Flag9	X1	Y1	Flag1	X10	Y10	Flag10	X12	Y12	Flag12	X11	Y11	Flag11
21	741.0000	460.5000	0	403.5000	247.5000	0	538.5000	313.5000	0	1351.5000	991.5000	0	252.0000	438.0000	0	1227.0000	535.5000	0	691.5000	703.5000	0	1168.5000	555.0000	0	1000.5000	604.5000	0	1017.0000	627.0000	0	1317.0000	745.5000	0			
22	742.5000	463.5000	0	403.5000	247.5000	0	541.5000	315.0000	0	1351.5000	990.0000	0	252.0000	438.0000	0	1234.5000	534.0000	0	693.0000	703.5000	0	1171.5000	549.0000	0	1000.5000	606.0000	0	1018.5000	628.5000	0	1318.5000	748.5000	0			
23	742.5000	460.5000	0	403.5000	246.0000	0	541.5000	318.0000	0	1351.5000	988.5000	0	252.0000	438.0000	0	1237.5000	537.0000	0	693.0000	703.5000	0	1171.8540	553.4003	0	1000.5000	607.5000	0	1017.0000	627.0000	0						
24	742.5000	462.0000	0	403.5000	246.0000	0	544.5000	318.0000	0	1348.5000	985.5000	0	247.5000	438.0000	0	1234.5000	534.0000	0	694.5000	703.5000	0	1173.0000	552.0000	0	1000.5000	606.0000	0	1018.5000	630.0000	0						
25	744.0000	462.0000	0	406.5000	243.0000	0	546.0000	318.0000	0	1347.0000	987.0000	0	246.0000	444.0000	0	1239.0000	540.0000	0	696.0000	703.5000	0	1174.5000	552.0000	0	1003.5000	610.5000	0	1017.0000	633.0000	0						
26	742.5000	462.0000	0	408.0000	241.5000	0	546.0000	316.5000	0	1348.5000	991.5000	0	243.0000	441.0000	0	1240.5000	541.5000	0	694.5000	705.0000	0	1171.5000	553.5000	0	1000.5000	610.5000	0	1015.5000	631.5000	0						
27	747.0000	463.5000	0	406.5000	241.5000	0	546.0000	318.0000	0	1348.5000	990.0000	0	243.0000	442.5000	0	1243.5000	543.0000	0	694.5000	700.5000	0	1174.5000	552.0000	0	999.0000	612.0000	0	1015.5000	628.5000	0						
28	745.5000	463.5000	0	406.5000	241.5000	0	544.5000	321.0000	0	1348.5000	991.5000	0	246.0000	441.0000	0	1243.5000	543.0000	0	696.0000	699.0000	0	1173.0000	553.5000	0	997.5000	613.5000	0	1018.5000	630.0000	0						
29	744.0000	463.5000	0	407.2500	243.0000	0	546.0000	322.5000	0	1350.0000	990.0000	0	244.5000	439.5000	0	1246.5000	543.0000	0	696.0000	702.0000	0	1173.0000	552.0000	0	997.5000	615.0000	0	1017.0000	637.5000	0						
30	741.0000	465.0000	0	409.5000	246.0000	0	544.5000	322.5000	0	1351.5000	993.0000	0	249.0000	438.0000	0	1248.0000	541.5000	0	697.5000	702.0000	0	1173.0000	550.5000	0	999.0000	613.5000	0	1018.5000	634.5000	0						
31	740.2500	466.5000	0	408.0000	246.0000	0	543.0000	322.5000	0	1350.0000	993.0000	0	250.5000	438.0000	0	1249.5000	540.0000	0	696.0000	697.5000	0	1173.0000	550.5000	0	1000.5000	609.0000	0	1020.0000	634.5000	0						
32	738.0000	466.5000	0	406.5000	250.5000	0	541.5000	324.0000	0	1348.5000	993.0000	0	249.0000	439.5000	0	1252.5000	538.5000	0	696.0000	697.5000	0	1172.1733	553.6173	0	997.5000	610.5000	0	1021.5000	636.0000	0						
33	738.0000	465.0000	0	408.0000	250.5000	0	541.5000	324.0000	0	1348.5000	988.5000	0	247.5000	438.0000	0	1254.0000	537.0000	0	697.5000	699.0000	0	1171.9867	553.3782	0	996.0000	612.0000	0	1021.5000	637.5000	0						
34	738.0000	462.0000	0	409.5000	255.0000	0	540.0000	324.0000	0	1348.5000	988.5000	0	250.5000	436.5000	0	1249.5000	537.0000	0	696.0000	694.5000	0	1168.5000	553.5000	0	996.0000	610.5000	0	1018.5000	637.5000	0						
35	736.5000	460.5000	0	408.0000	256.5000	0	538.5000	322.5000	0	1347.0000	990.0000	0	247.5000	441.0000	0	1252.5000	541.5000	0	696.0000	696.0000	0	1168.5000	549.0000	0	996.0000	612.0000	0	1023.0000	636.0000	0						
36	738.0000	463.5000	0	408.0000	258.0000	0	540.0000	324.0000	0	1347.0000	993.0000	0	250.8094	443.4960	0	1249.5000	541.5000	0	702.0000	700.5000	0	1168.5000	547.5000	0	993.0000	615.0000	0	1023.0000	633.0000	0						
37	741.0000	460.5000	0	408.0000	255.0000	0	541.5000	324.0000	0	1348.5000	993.0000	0	250.1961	444.5525	0	1254.0000	540.0000	0	702.0000	702.0000	0	1170.0000	547.5000	0	996.0000	616.5000	0	1024.5000	633.0000	0						
38	742.5000	463.5000	0	405.0000	252.0000	0	540.0000	328.5000	0	1347.0000	991.5000	0	246.0000	445.5000	0	1255.5000	541.5000	0	702.0000	702.0000	0	1171.5000	549.0000	0	994.5000	613.5000	0	1024.5000	633.0000	0						
39	742.5000	462.0000	0	408.0000	252.0000	0	541.5000	328.5000	0	1347.0000	990.0000	0	246.0000	445.5000	0	1258.5000	538.5000	0	699.0000	697.5000	0	1171.5000	549.0000	0	996.0000	612.0000	0	1023.0000	634.5000	0						
40	745.5000	462.0000	0	406.5000	250.5000	0	540.0000	327.0000	0	1351.5000	991.5000	0	246.0000	445.5000	0	1260.0000	535.5000	0	702.0000	696.0000	0	1171.5000	549.0000	0	994.5000	610.5000	0	1023.0000	634.5000	0						
41	745.5000	460.5000	0	405.0000	252.0000	0	543.0000	328.5000	0	1354.5000	987.0000	0	243.0000	447.0000	0	1264.5000	535.5000	0	705.0000	694.5000	0	1171.5000	549.0000	0	994.5000	609.0000	0	1023.0000	634.5000	0						
42	747.0000	462.0000	0	403.5000	253.5000	0	543.0000	331.5000	0	1356.0000	990.0000	0	244.5000	447.0000	0	1264.5000	538.5000	0	703.5000	699.0000	0	1171.5000	547.5000	0	994.5000	607.5000	0	1024.5000	633.0000	0						
43	745.5000	462.0000	0	403.5000	252.0000	0	543.0000	330.0000	0	1356.0000	988.5000	0	244.5000	445.5000	0	1264.5000	535.5000	0	705.0000	697.5000	0	1170.0000	552.0000	0	996.0000	607.5000	0	1024.5000	631.5000	0						
44	745.5000	463.5000	0	402.0000	250.5000	0	543.0000	330.0000	0	1354.5000	987.0000	0	240.0000	444.0000	0	1264.5000	535.5000	0	703.5000	699.0000	0	1165.5000	547.5000	0	996.0000	609.0000	0	1026.0000	630.0000	0						
45	747.0000	463.5000	0	402.0000	252.0000	0	546.0000	331.5000	0	1354.5000	987.0000	0	238.5000	444.0000	0	1266.0000	531.0000	0	703.5000	699.0000	0	1167.0000	549.0000	0	993.0000	610.5000	0	1027.5000	631.5000	0						
46	744.0000	466.5000	0	402.0000	250.5000	0	550.5000	333.0000	0	1353.0000	987.0000	0	241.5000	445.5000	0	1266.0000	531.0000	0	699.0000	700.5000	0	1164.0000	550.5000	0	994.5000	609.0000	0	1027.5000	631.5000	0						
47	747.0000	466.5000	0	402.0000	252.0000	0	552.0000	334.5000	0	1351.5000	985.5000	0	243.0000	447.0000	0	1266.0000	534.0000	0	700.5000	705.0000	0	1164.0000	556.5000	0	996.0000	610.5000	0	1027.5000	630.0000	0						
48	745.5000	466.5000	0	405.0000	252.0000	0	550.5000	334.5000	0	1351.5000	985.5000	0	241.5000	448.5000	0	1267.5000	531.0000	0	702.0000	705.0000	0	1165.5000	553.5000	0	997.5000	613.5000	0	1029.0000	633.0000	0						
49	745.5000	468.0000	0	406.5000	253.5000	0	550.5000	336.0000	0	1354.5000	987.0000	0	243.0000	447.0000	0	1267.5000	531.0000	0	702.0000	706.5000	0	1164.0000	558.0000	0	997.5000	613.5000	0	1029.0000	633.0000	0						
50	744.0000	466.5000	0	405.0000	253.5000	0	549.0000	337.5000	0	1353.0000	988.5000	0	244.5000	445.5000	0	1266.0000	532.5000	0	703.5000	706.5000	0	1165.5000	558.0000	0	997.1929	614.2292	0	1027.5000	631.5000	0						
51	741.0000	465.0000	0	405.0000	253.5000	0	550.5000	336.0000	0	1353.0000	991.5000	0	243.0000	444.0000	0	1267.5000	534.0000	0	702.0000	705.0000	0	1165.5000	559.5000	0	996.0000	615.0000	0	1024.5000	628.5000	0						
52	741.0000	462.0000	0	405.0000	255.0000	0	550.5000	337.5000	0	1351.5000	993.0000	0	244.5000	444.0000	0	1264.5000	535.5000	0	702.0000	706.5000	0	1165.5000	559.5000	0	997.5000	618.0000	0	1023.0000	631.5000	0						
53	742.5000	462.0000	0	405.0000	255.0000	0	550.5000	337.5000	0	1353.0000	990.0000	0	249.0000	441.0000	0	1266.0000	535.5000	0	702.0000	705.0000	0	1171.5000	559.5000	0	997.5000	615.0000	0	1023.0000	630.0000	0						
54	741.0000	463.5000	0	406.5000	256.5000	0	549.0000	337.5000	0	1353.0000	990.0000	0	250.5000	438.0000	0	1269.0000	538.5000	0	700.5000	705.0000	0	1170.0000	561.0000	0	999.0000	615.0000	0	1024.5000	633.0000	0						
55	744.0000	462.0000	0	409.5000	258.0000	0	547.5000	337.5000	0	1354.5000	987.0000	0	246.0000	435.0000	0	1267.5000	534.0000	0	700.5000	702.0000	0	1173.0000	558.0000	0	996.0000	613.5000	0	1029.0000	630.0000	0						
56	744.0000	463.5000	0	409.5000	258.0000	0	544.5000	336.0000	0	1354.5000	987.0000	0	246.0000	436.5000	0	1266.0000	534.0000	0	699.0000	702.0000	0	1171.5000	553.5000	0	999.0000	612.0000	0	1027.5000	633.0000	0						
57	748.5000	468.0000	0	408.0000	261.0000	0	544.5000	336.0000	0	1354.5000	988.5000	0	247.5000	435.0000	0	1264.5000	534.0000	0	699.0000	699.0000	0	1171.5000	555.0000	0	999.0000	610.5000	0	1027.5000	633.0000	0						
58	748.5000	468.0000	0	406.5000	262.5000	0	543.0000	337.5000	0	1354.5000	987.0000	0	247.5000	438.0000	0	1269.0000	537.0000	0	699.0000	699.0000	0	1173.0000	558.0000	0	997.5000	610.5000	0									
59	750.0000	468.0000	0	409.5000	262.5000	0	541.5000	336.0000	0	1353.0000	987.0000	0	247.5000	441.0000	0	1269.0000	535.5000	0	702.0000	699.0000	0	1171.5000	553.5000	0	997.5000	610.5000	0									
60	750.0000	471.0000	0	408.0000	264.0000	0	543.0000	337.5000	0	1353.0000	987.0000	0	246.0000	441.0000	0	1269.0000	532.5000	0	700.5000	700.5000	0	1173.0000	553.5000	0	999.0000	610.5000	0									
