Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9
Tracks 1 to 9
48	 	 	 	 	 	 	 	 	 	762.82961	190.27130	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
49	 	 	 	 	 	 	793.45074	176.06577	*	762.69516	196.44065	 	784.45300	181.39385	*	 	 	 	 	 	 	 	 	 	 	 	 
50	 	 	 	 	 	 	791.77784	174.37230	 	767.11487	199.33970	 	782.91210	180.02705	 	 	 	 	 	 	 	 	 	 	 	 	 
51	 	 	 	 	 	 	790.37628	172.95940	 	768.88446	200.15229	 	781.70927	179.26910	 	 	 	 	 	 	 	 	 	 	 	 	 
52	 	 	 	 	 	 	786.52747	169.47118	 	774.63011	201.26083	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
53	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
54	 	 	 	 	 	 	 	 	 	761.38293	192.96892	*	786.63212	191.98043	*	 	 	 	 	 	 	 	 	 	 	 	 
55	 	 	 	 	 	 	 	 	 	759.81893	192.26887	 	785.97894	190.62467	 	 	 	 	 	 	 	 	 	 	 	 	 
56	 	 	 	 	 	 	 	 	 	759.41806	197.05450	 	786.37740	187.62978	 	 	 	 	 	 	 	 	 	 	 	 	 
57	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
59	 	 	 	 	 	 	 	 	 	774.22971	203.44386	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60	 	 	 	 	 	 	 	 	 	769.37973	206.96625	 	778.68980	177.63265	*	 	 	 	 	 	 	 	 	 	 	 	 
61	 	 	 	 	 	 	 	 	 	772.33736	209.83776	 	776.38566	176.36515	 	 	 	 	 	 	 	 	 	 	 	 	 
62	 	 	 	 	 	 	 	 	 	 	 	 	782.92391	181.82252	 	 	 	 	 	 	 	 	 	 	 	 	 
63	 	 	 	 	 	 	 	 	 	 	 	 	783.03796	181.69625	 	 	 	 	 	 	 	 	 	 	 	 	 
64	 	 	 	 	 	 	 	 	 	 	 	 	780.54485	179.04881	 	 	 	 	 	 	 	 	 	 	 	 	 
65	 	 	 	 	 	 	 	 	 	 	 	 	783.29718	181.95280	 	 	 	 	 	 	 	 	 	 	 	 	 
66	 	 	 	 	 	 	 	 	 	 	 	 	786.55016	187.12590	 	 	 	 	 	 	 	 	 	 	 	 	 
67	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68	 	 	 	 	 	 	 	 	 	 	 	 	787.86090	190.80296	*	 	 	 	 	 	 	 	 	 	 	 	 
69	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	769.84687	214.86719	 	 	 	 	 	 	 	 	 	 
70	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	772.76556	209.34412	 	 	 	 	 	 	 	 	 	 
71	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	774.05686	209.83037	 	 	 	 	 	 	 	 	 	 
72	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	779.01613	208.05609	 	 	 	 	 	 	 	 	 	 
73	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
74	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
75	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
76	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	771.97323	202.77765	*	 	 	 	 	 	 	 	 	 
77	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	768.60995	202.04802	 	 	 	 	 	 	 	 	 	 
78	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	769.29155	200.00021	 	 	 	 	 	 	 	 	 	 
79	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	791.24030	189.94195	 	762.82821	190.69998	 	 	 	 
80	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	784.36330	195.74112	 	763.18249	187.86209	 	 	 	 
81	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	791.93177	201.06664	*	784.27988	196.76303	 	763.62565	187.07130	 	 	 	 
82	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	791.72591	201.85001	 	784.28297	197.24596	 	764.04920	186.36271	 	 	 	 
83	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	787.81219	206.57305	 	781.26819	199.77796	 	765.91443	181.11476	 	 	 	 
84	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	791.42195	201.48784	 	783.94947	197.07970	 	763.75453	186.31419	 	 	 	 
85	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
86	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	757.32074	181.09863	*	 	 	 
87	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	787.99145	195.34623	*	756.95759	184.80149	 	 	 	 
88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	787.03870	198.32858	 	759.63108	179.79318	 	 	 	 
89	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	785.38715	199.99697	 	762.13910	177.28720	 	 	 	 
90	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	786.97013	199.16463	 	760.68194	178.98308	 	 	 	 
91	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	786.22022	199.02811	 	760.20993	180.54286	 	 	 	 
92	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	786.99447	199.52210	 	757.77350	182.01501	 	 	 	 
93	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	787.66432	198.80155	 	759.87972	180.15873	 	 	 	 
94	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	781.85207	201.92328	 	766.04469	175.03184	 	 	 	 
95	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	785.29327	199.99115	 	762.59772	176.99595	 	 	 	 
96	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	785.37210	197.86311	 	759.15031	178.71292	 	 	 	 
97	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	785.59402	197.27568	 	758.30053	179.47265	 	 	 	 
98	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	787.06075	194.99516	 	756.44279	184.30172	 	 	 	 
99	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	786.73894	192.89434	 	755.33245	187.20984	 	 	 	 
100	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	786.74625	192.83612	 	755.33176	187.26358	 	 	 	 
101	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	785.02001	195.88810	 	756.59314	180.43581	 	 	 	 
102	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	784.41253	194.00812	 	754.47394	182.51273	 	 	 	 
103	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	769.35629	188.98604	 
