Frame	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12	X13	Y13	Flag13	X9	Y9	Flag9	X8	Y8	Flag8	X6	Y6	Flag6	X16	Y16	Flag16	X17	Y17	Flag17	X7	Y7	Flag7	X4	Y4	Flag4	X3	Y3	Flag3	X5	Y5	Flag5	X18	Y18	Flag18	X2	Y2	Flag2	X14	Y14	Flag14	X15	Y15	Flag15	X1	Y1	Flag1
13	1311.0000	199.5000	0	846.0000	93.0000	0	942.0000	921.0000	0	723.0000	964.5000	0	1215.0000	994.5000	0	376.5000	1000.5000	0	652.5000	901.5000	0	1413.0000	721.5000	0	765.0000	567.0000	0	583.5000	982.5000	0	457.5000	934.5000	0	1278.0000	924.0000	0	664.5000	1027.5000	0	1377.0000	1051.5000	0	378.0000	312.0000	0	1341.2961	1062.6272	0	92.8872	973.4014	0	1131.0000	1065.0000	0
14	1311.0000	199.5000	0	847.5000	93.0000	0	942.0000	921.0000	0	721.5000	964.5000	0	1216.5000	993.0000	0	376.5000	1000.5000	0	651.0000	903.0000	0	1413.0000	723.0000	0	765.0000	565.5000	0	583.5000	982.5000	0	456.0000	934.5000	0	1278.0000	922.5000	0	663.0000	1026.0000	0	1371.4642	1043.3454	0	378.0000	312.0000	0	1333.3858	1062.3943	0	92.1560	973.0789	0	1131.0000	1065.0000	0
15	1311.0000	201.0000	0	846.0000	96.0000	0	942.0000	922.5000	0	721.5000	964.5000	0	1216.5000	993.0000	0	378.0000	1002.0000	0	651.0000	904.5000	0	1413.0000	723.0000	0	765.0000	565.5000	0	583.5000	982.5000	0	456.0000	934.5000	0	1279.5000	922.5000	0	664.5000	1027.5000	0	1371.1778	1043.5251	0	381.0000	313.5000	0	1331.9307	1063.1418	0	89.8080	971.2393	0	1131.0000	1065.0000	0
16	1309.5000	201.0000	0	846.0000	96.0000	0	940.5000	922.5000	0	721.5000	967.5000	0	1215.0000	994.5000	0	378.0000	1002.0000	0	651.0000	906.0000	0	1411.5000	723.0000	0	766.5000	565.5000	0	583.5000	982.5000	0	457.5000	936.0000	0	1281.0000	922.5000	0	666.0000	1027.5000	0	1377.0000	1051.5000	0	381.0000	315.0000	0	1330.7168	1063.0451	0	87.6283	968.4824	0	1129.5000	1065.0000	0
17	1309.5000	199.5000	0	844.5000	96.0000	0	940.5000	924.0000	0	721.5000	967.5000	0	1216.5000	993.0000	0	378.0000	1002.0000	0	651.0000	906.0000	0	1411.5000	724.5000	0	766.5000	567.0000	0	582.0000	984.0000	0	456.0000	936.0000	0	1279.5000	924.0000	0	664.5000	1029.0000	0	1377.0000	1051.5000	0	381.0000	315.0000	0	1332.0506	1062.0007	0	86.3339	965.4349	0	1129.5000	1065.0000	0
18	1308.0000	201.0000	0	844.5000	96.0000	0	940.5000	922.5000	0	723.0000	967.5000	0	1215.0000	994.5000	0	378.0000	1000.5000	0	651.0000	906.0000	0	1410.0000	726.0000	0	766.5000	568.5000	0	583.5000	982.5000	0	454.5000	936.0000	0	1281.0000	922.5000	0	667.5000	1029.0000	0	1375.5000	1051.5000	0	382.5000	315.0000	0	1332.0381	1061.6552	0	86.6569	966.6063	0	1129.5000	1065.0000	0
19	1309.5000	199.5000	0	844.5000	94.5000	0	940.5000	922.5000	0	724.5000	967.5000	0	1215.0000	994.5000	0	376.5000	1000.5000	0	652.5000	906.0000	0	1407.0000	730.5000	0	768.0000	567.0000	0	583.5000	982.5000	0	454.5000	937.5000	0	1281.0000	924.0000	0	664.5000	1027.5000	0	1375.5000	1051.5000	0	382.5000	316.5000	0	1332.3491	1061.7516	0	86.2970	965.2386	0	1129.5000	1065.0000	0
20	1311.0000	199.5000	0	843.0000	94.5000	0	939.0000	922.5000	0	723.0000	967.5000	0	1215.0000	994.5000	0	378.0000	1000.5000	0	652.5000	907.5000	0	1405.5000	733.5000	0	768.0000	568.5000	0	583.5000	982.5000	0	453.0000	937.5000	0	1281.0000	924.0000	0	661.5000	1027.5000	0	1377.0000	1053.0000	0	382.5000	316.5000	0	1332.9073	1061.4894	0	86.3501	964.9802	0	1129.5000	1065.0000	0
21	1311.0000	199.5000	0	843.0000	94.5000	0	940.5000	922.5000	0	723.0000	969.0000	0	1215.0000	994.5000	0	378.0000	1000.5000	0	654.0000	907.5000	0	1404.0000	735.0000	0	768.0000	568.5000	0	582.0000	984.0000	0	453.0000	936.0000	0	1281.0000	924.0000	0	664.5000	1027.5000	0	1375.5000	1051.5000	0	382.5000	316.5000	0	1333.6713	1061.1403	0	85.7315	961.8396	0			
22	1311.0000	199.5000	0	841.5000	96.0000	0	940.5000	922.5000	0	723.0000	967.5000	0	1216.5000	993.0000	0	378.0000	1000.5000	0	652.5000	909.0000	0	1401.0000	738.0000	0	768.0000	568.5000	0	583.5000	982.5000	0	454.5000	936.0000	0	1279.5000	924.0000	0	664.5000	1027.5000	0	1375.5000	1051.5000	0	384.0000	315.0000	0	1332.1550	1062.9173	0	86.2886	965.0641	0			
23	1312.5000	199.5000	0	841.5000	97.5000	0	940.5000	922.5000	0	723.0000	967.5000	0	1216.5000	993.0000	0	378.0000	1000.5000	0	652.5000	909.0000	0	1398.0000	741.0000	0	768.0000	571.5000	0	583.5000	982.5000	0	454.5000	937.5000	0	1279.5000	924.0000	0	664.5000	1027.5000	0	1375.5000	1051.5000	0	382.5000	315.0000	0	1342.0055	1062.7787	0	85.5030	959.9716	0			
24	1312.5000	198.0000	0	841.5000	96.0000	0	939.0000	922.5000	0	723.0000	969.0000	0	1215.0000	994.5000	0	376.5000	1002.0000	0	654.0000	910.5000	0	1396.5000	744.0000	0	768.0000	571.5000	0	583.5000	982.5000	0	453.0000	939.0000	0	1279.5000	924.0000	0	664.5000	1026.0000	0	1377.0000	1051.5000	0	381.0000	316.5000	0	1342.5138	1062.1553	0	85.7309	962.8031	0			
