Frame	X5	Y5	Flag5	X6	Y6	Flag6	X3	Y3	Flag3	X7	Y7	Flag7	X2	Y2	Flag2	X4	Y4	Flag4	X1	Y1	Flag1	X8	Y8	Flag8
34	435.0000	508.5000	0	69.2391	922.3706	0	26.0689	881.8153	0	873.2762	490.7016	0	866.3803	435.3436	0	424.5000	508.5000	0						
35	433.5000	505.5000	0	68.1151	922.1662	0	26.2400	882.1430	0	872.3110	490.3300	0	861.5969	433.7221	0	427.5000	510.0000	0						
36	433.5000	507.0000	0	67.4308	924.1554	0	26.2694	881.9145	0	872.8398	490.4676	0	857.6247	433.4724	0	424.5000	508.5000	0						
37	433.5000	508.5000	0	67.8433	924.1893	0	26.5850	881.8111	0	873.2361	490.4205	0	857.5671	433.9079	0	426.0000	510.0000	0						
38	430.5000	507.0000	0	67.3012	925.0560	0	26.2362	881.0303	0	875.4318	491.3123	0	854.3334	436.4982	0	427.5000	510.0000	0						
39	432.0000	508.5000	0	67.8544	925.7294	0	26.1497	880.5406	0	874.9074	490.8164	0	855.7613	434.5434	0	427.5000	508.5000	0						
40	432.0000	508.5000	0	65.2860	926.5475	0	26.4849	880.5041	0	875.6114	489.9289	0	855.3833	435.2951	0	426.0000	511.5000	0						
41	430.5000	508.5000	0	63.7274	925.6059	0	26.5885	881.5176	0	877.7911	490.1453	0	856.0070	435.9267	0	426.0000	508.5000	0						
42	432.0000	510.0000	0	62.6198	924.2691	0	26.5832	880.9739	0	876.4442	490.3320	0	857.4675	435.0322	0	424.5000	508.5000	0						
43	432.0000	508.5000	0	60.7495	922.7980	0	26.7511	880.6935	0	874.3579	492.0561	0	856.4526	434.2642	0	423.0000	507.0000	0						
44	432.0000	510.0000	0	59.6676	922.0281	0	27.2346	881.1511	0	875.1305	490.3342	0	856.9141	434.1819	0									
45	432.0000	511.5000	0	58.2927	922.1012	0	27.1917	880.8581	0	874.6497	490.7249	0	857.3812	434.0763	0									
46	430.5000	510.0000	0	58.7079	922.3181	0	26.8376	880.4204	0	874.3550	491.0340	0	859.9180	432.9153	0									
47	429.0000	510.0000	0	59.2440	922.7799	0	26.3909	880.1060	0	872.0128	491.2361	0	861.0037	432.9920	0									
