Frame	X11	Y11	Flag11	X13	Y13	Flag13	X12	Y12	Flag12	X2	Y2	Flag2	X10	Y10	Flag10	X6	Y6	Flag6	X9	Y9	Flag9	X3	Y3	Flag3	X7	Y7	Flag7	X16	Y16	Flag16	X18	Y18	Flag18	X8	Y8	Flag8	X1	Y1	Flag1	X4	Y4	Flag4	X5	Y5	Flag5	X15	Y15	Flag15	X14	Y14	Flag14	X17	Y17	Flag17
15	1143.1007	788.3608	0	389.7249	272.2687	0	1177.5000	75.0000	0	1180.1005	60.3871	0	938.6732	134.3933	0	201.9043	142.0595	0	924.8013	152.0312	0	941.8129	125.4876	0	948.5512	145.6082	0	1164.1256	92.7579	0	298.3685	715.4782	0	948.7407	120.1817	0																		
16	1142.1239	788.2066	0	388.2511	271.9132	0	1178.6468	72.5202	0	1180.3471	60.6201	0	939.5933	132.1844	0	201.7587	139.2139	0	925.8264	153.9626	0	941.6071	126.8382	0	949.1542	151.6822	0	1162.0629	90.1796	0	299.1463	715.6860	0																					
17	1142.3966	788.2414	0	387.9050	269.7178	0	1177.5000	75.0000	0	1180.0768	60.4088	0	940.9288	130.5271	0	199.4394	141.2929	0	920.2467	157.6783	0	941.7325	131.4318	0																														
18	1141.5000	786.0000	0	386.4433	269.5503	0	1177.5000	75.0000	0	1180.2226	61.8735	0	940.8176	130.7791	0	200.4887	137.6214	0	921.0474	153.5261	0	941.4502	123.9782	0																														
19	1143.8133	788.9782	0	386.5145	272.3995	0	1177.5000	75.0000	0	1179.6520	61.7508	0	939.9113	130.1472	0	191.1542	148.7114	0	917.8750	150.3221	0	941.2344	124.7769	0																														
20	1143.4129	789.6701	0	387.9358	276.3006	0	1177.5000	75.0000	0	1179.6502	61.9245	0	941.0085	129.2682	0	197.2131	134.9262	0	921.3457	153.8074	0	941.7674	126.1951	0																														
21	1141.0291	789.7420	0	386.7067	276.1465	0	1179.5217	68.4023	0	1180.4132	60.9320	0	939.6192	127.8512	0	193.5538	139.9501	0	923.2810	149.6131	0	944.2285	124.8999	0																														
22	1140.3368	788.8715	0	384.7542	276.6845	0	1179.3395	66.5365	0	1181.7334	66.9536	0	941.7030	129.1281	0	193.7192	141.3766	0	916.1942	151.7459	0																																	
23	1140.9579	789.7693	0	386.3594	279.8144	0	1177.5000	75.0000	0	1180.3563	61.5077	0	941.6029	127.4169	0	195.0140	136.7902	0	919.8022	148.1346	0																																	
24	1140.2845	788.5824	0	387.5149	278.1595	0	1178.6635	67.2527	0	1180.5236	68.4601	0	942.4370	126.3349	0	193.7867	141.3421	0	924.3809	148.1091	0																																	
25	1140.5636	787.8560	0	386.2736	276.7391	0	1178.6367	67.5092	0	1181.5498	66.3521	0	941.1253	128.3729	0	192.7803	146.0318	0	923.7857	148.3492	0																																	
26	1138.1367	787.6796	0	384.4182	279.3266	0	1178.4437	67.8457	0	1179.7820	70.3753	0	945.0000	121.5000	0	190.4892	147.5324	0	926.9688	146.4577	0																																	
27	1137.8708	786.7894	0	385.9959	282.5380	0	1178.3981	67.5281	0	1179.6327	70.4632	0	949.3150	113.2043	0	195.2123	140.1085	0	920.3070	149.4912	0																																	
28	1136.8836	785.4437	0	385.4897	281.5985	0	1178.4123	67.8807	0	1181.4741	67.3480	0	950.2755	113.8568	0	194.7959	137.9450	0																																				
29	1136.2968	783.0093	0	386.8321	281.5168	0	1171.5000	60.0000	0	1180.2557	61.9415	0	958.3066	114.6564	0	195.7199	134.6525	0																																				
30	1136.4517	782.5626	0	389.7378	283.7650	0	1177.5000	75.0000	0	1180.2471	61.0704	0	954.9389	114.3828	0	196.9677	133.3161	0																																				
31	1136.2399	782.5314	0	389.1204	278.6553	0	1177.5000	75.0000	0	1181.7705	65.1927	0	951.0000	121.5000	0	185.6115	135.0662	0																																				
32	1136.1664	782.7914	0	387.8617	279.6086	0	1178.1326	75.0585	0	1180.6243	60.0515	0	946.3377	129.2158	0	190.5190	135.7703	0																																				
33	1136.2988	781.8492	0	388.7505	280.0279	0	1178.9901	71.3286	0	1180.7704	60.3216	0	945.8772	129.6369	0	189.7380	137.3265	0																																				
34	1136.0876	783.1772	0	389.0820	280.5326	0	1179.2660	71.3170	0	1182.0273	66.0697	0	963.3953	123.4703	0																																							
35	1137.4915	785.6743	0	388.7419	277.4646	0	1179.3427	71.5448	0	1180.5684	60.1694	0	960.9079	121.5642	0																																							
36	1137.1548	785.2913	0	385.4036	276.6941	0	1178.0198	75.7618	0	1180.3752	60.8186	0	960.3107	123.2074	0																																							
37	1137.5596	786.2696	0	384.1084	274.8354	0	1179.0215	70.1902	0	1180.4378	60.3799	0	962.3917	125.0039	0																																							
38	1137.0055	784.5392	0	383.6789	273.5223	0	1178.8691	70.0439	0	1180.4868	61.0621	0	961.7238	122.6146	0																																							
39	1136.8306	784.3601	0	384.1709	273.5387	0	1179.2376	70.8702	0	1180.4892	60.7736	0	961.4860	119.6175	0																																							
40	1136.8658	784.6685	0	383.1997	272.1804	0	1177.5000	75.0000	0	1180.7446	60.3630	0	961.5492	119.0789	0																																							
41	1136.1872	782.3840	0	382.9676	272.8155	0	1178.3691	77.3160	0	1180.8585	59.8532	0	966.9306	116.6912	0																																							
42	1136.8166	784.7218	0	383.3374	271.4223	0	1178.3697	77.5657	0	1180.5965	60.4713	0	959.5960	114.1029	0																																							
43	1136.6056	783.8991	0	384.2409	270.2707	0	1178.6369	78.0398	0	1180.7600	60.1619	0	960.5975	118.8943	0																																							
44	1137.0453	784.2936	0	383.3841	271.1691	0	1178.7125	77.9045	0	1180.7776	60.0477	0	968.1158	120.3251	0																																							
45	1136.8162	783.4638	0	383.3488	270.7054	0	1178.6536	78.0367	0	1180.6311	59.6994	0	961.8315	114.3600	0																																							
46	1136.9275	783.5803	0	383.9946	271.3072	0	1178.9307	78.6012	0	1180.4995	59.4304	0	963.0412	115.5420	0																																							
47	1137.2338	783.1690	0	383.2899	274.2131	0	1178.2475	78.8721	0	1180.4652	59.8218	0	961.6906	115.7642	0																																							
48	1137.2567	783.6878	0	383.0368	272.7430	0	1178.5921	78.7192	0	1180.3772	58.9699	0	961.8355	114.9535	0																																							
49	1136.8893	783.2152	0	382.2830	273.8330	0	1178.7608	78.3793	0	1179.4304	61.6130	0	960.3114	115.2709	0																																							
50	1137.5523	782.0273	0	381.8744	276.0401	0	1178.7999	78.4473	0	1179.8187	60.3481	0																																										
51	1137.8197	781.8867	0	382.4590	276.6300	0	1179.5481	71.5174	0	1179.1305	61.8838	0																																										
52	1137.2643	781.8566	0	383.4139	275.9453	0	1177.5000	75.0000	0	1179.0244	62.0747	0																																										
53	1137.7195	781.1775	0	383.8982	277.5034	0	1179.4673	70.9502	0	1178.3249	65.2769	0																																										
54	1138.3484	780.9053	0	383.0961	278.0028	0	1179.5887	70.2335	0	1178.3045	65.2236	0																																										
55	1136.8098	781.8094	0	383.1454	277.1945	0	1179.4622	70.9824	0	1178.4187	64.6992	0																																										
56	1136.0070	780.4136	0	384.4342	273.4741	0	1179.6261	70.1356	0	1178.3699	65.5265	0																																										
57	1135.7998	782.0972	0	384.5560	276.1790	0	1179.0000	70.5000	0	1178.1206	66.4455	0																																										
58	1135.5118	780.4012	0	385.1745	275.5949	0	1179.1788	69.6612	0	1178.4968	64.9719	0																																										
59	1135.1507	780.9303	0	387.8593	277.6634	0	1178.8836	85.5530	0	1178.5002	64.9258	0																																										
60	1135.6573	780.9506	0	392.2346	274.1330	0	1180.5509	86.5107	0	1178.3053	66.0158	0																																										
61	1136.4992	777.4586	0	400.1299	274.7321	0	1190.4879	87.5121	0	1178.3408	67.7699	0																																										
62	1136.7900	780.3455	0	399.6134	273.6912	0	1190.9774	84.8102	0	1179.0000	61.5000	0																																										
63	1147.8228	787.0745	0	397.9386	273.6603	0	1194.1371	87.2442	0	1182.0007	72.2912	0																																										
64	1137.0591	783.1663	0	394.7202	277.3202	0	1190.5048	86.7137	0	1178.6470	68.2499	0																																										
65	1136.9258	784.2784	0	399.6950	275.9890	0	1188.4495	84.6882	0	1179.0000	61.5000	0																																										
66	1136.7179	783.9122	0	399.4878	276.7057	0	1188.7558	84.7107	0	1178.5367	68.0541	0																																										
67	1136.5442	783.9005	0	398.7341	278.2044	0	1190.0847	85.3593	0	1181.1552	73.5861	0																																										
68	1138.3309	787.0919	0	399.4250	273.9035	0	1190.2916	88.6392	0	1182.0589	74.2972	0																																										
69	1140.4442	788.5101	0	398.6405	272.0065	0	1188.0428	87.4724	0	1181.9610	73.9454	0																																										
70	1145.6967	788.3902	0	397.6786	268.7444	0	1184.9240	82.1830	0	1181.5868	72.2243	0																																										
71	1145.8183	788.4833	0	397.5843	267.0825	0	1189.2757	84.0709	0	1178.9704	69.5222	0																																										
72	1144.5000	786.0000	0	394.7288	266.0181	0	1189.9142	85.3321	0	1178.8184	69.1917	0																																										
73	1144.8511	788.2784	0	396.7332	267.4185	0	1192.8427	80.2737	0	1178.9342	69.2099	0																																										
74	1146.8326	790.4637	0	396.1402	269.1795	0	1187.3243	90.2336	0	1178.6388	68.1025	0																																										
75	1145.3172	789.7335	0	397.6918	271.2588	0	1184.1366	91.4973	0	1179.0000	61.5000	0																																										
76	1145.1865	788.0512	0	396.0380	270.7744	0	1191.8170	88.1300	0																																													
77	1145.7676	786.9611	0	396.4763	272.1185	0	1193.6688	85.3312	0																																													
78	1146.5778	785.9996	0	398.9807	276.9879	0	1195.0457	84.7255	0																																													
79	1146.4898	784.7032	0	398.5978	273.7171	0	1194.6577	86.6443	0																																													
80	1145.9319	784.4814	0	401.7333	274.4397	0	1201.2983	76.4561	0																																													
81	1144.5000	786.0000	0	402.3881	274.4748	0	1203.1537	81.4444	0																																													
82	1144.9676	784.2649	0	402.3289	273.9844	0	1202.5734	83.6504	0																																													
83	1144.5000	786.0000	0	400.0295	277.0453	0	1204.3492	78.0628	0																																													
84	1145.4281	785.1897	0	398.9715	279.0843	0	1204.3901	82.1347	0																																													
85	1144.5000	786.0000	0	397.2994	276.3497	0	1204.3694	76.2420	0																																													
86	1145.8903	784.1682	0	398.4479	275.8568	0	1203.5486	79.7086	0																																													
87	1145.6516	784.3597	0	395.7550	275.8832	0	1206.9370	79.1413	0																																													
88	1145.9830	785.8619	0	394.0434	275.6517	0	1201.6434	87.6793	0																																													
89	1147.1204	786.1708	0	394.7699	274.9498	0	1198.4616	88.6195	0																																													
90	1146.5219	788.7956	0	393.6491	279.6067	0	1206.4137	84.4643	0																																													
91	1145.6300	787.3573	0	394.1512	278.7917	0	1205.8938	80.6346	0																																													
92	1145.1280	789.5049	0	396.4708	277.5925	0	1205.6661	88.1555	0																																													
93	1144.8369	789.9596	0	395.6469	276.9472	0	1202.1373	84.9133	0																																													
94	1144.5000	786.0000	0	394.4136	273.1247	0	1202.6300	84.1205	0																																													
95	1145.8201	788.3181	0	394.3877	271.5626	0																																																
96	1146.9841	787.2252	0	396.5648	271.7530	0																																																
97	1146.6233	785.1958	0	397.4088	275.0174	0																																																
98	1145.0944	782.7566	0	398.0612	274.4051	0																																																
99	1144.1749	782.5351	0	399.3762	274.8731	0																																																
100	1146.3470	783.3631	0	400.8046	276.8460	0																																																
101	1147.1885	785.1457	0	400.5664	275.3762	0																																																
102	1144.4812	781.6909	0	401.4408	274.7757	0																																																
103	1145.6555	782.1252	0	402.7250	271.7992	0																																																
104	1145.5652	781.8775	0	401.6403	272.5848	0																																																
105	1145.0211	781.1006	0	401.6617	273.8023	0																																																
106	1144.2819	782.2501	0	402.3698	274.5023	0																																																
107	1140.7118	782.9378	0	402.6614	277.1521	0																																																
108	1140.5990	782.9398	0	402.2871	276.2830	0																																																
109	1140.9327	783.5333	0	401.9783	274.9342	0																																																
110	1141.0054	785.3654	0	401.8980	275.7782	0																																																
111	1144.5000	786.0000	0	402.6016	276.9610	0																																																
112	1144.5000	780.0000	0	402.9885	276.7071	0																																																
113	1140.5554	786.6635	0	402.9592	275.1298	0																																																
114	1140.4979	786.4167	0	402.0204	274.2927	0																																																
115	1139.9875	786.5401	0	399.4892	272.6404	0																																																
116	1136.5830	785.5069	0	398.1028	270.6221	0																																																
117	1136.1657	785.5310	0	398.4702	270.7469	0																																																
118	1134.9115	780.9792	0	395.5747	270.8224	0																																																
119	1134.4985	780.4686	0	396.2963	271.5036	0																																																
120	1142.7165	780.7451	0	396.5147	271.1886	0																																																
