Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6
Tracks 1 to 6
1	834.55832	255.81715	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	834.23530	256.37590	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	834.29673	257.64795	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	834.93765	257.86938	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	834.87574	256.96067	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	833.91442	257.22361	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
63	 	 	 	 	 	 	 	 	 	811.09777	250.31790	 	840.18662	259.47439	 	 	 	 
64	 	 	 	 	 	 	 	 	 	809.03409	256.13281	 	840.60382	257.26821	 	 	 	 
65	 	 	 	 	 	 	 	 	 	809.67278	252.12041	 	840.27989	258.57434	 	 	 	 
66	 	 	 	 	 	 	 	 	 	808.31513	260.43562	 	838.62974	255.80832	 	 	 	 
67	 	 	 	 	 	 	 	 	 	807.20343	260.16387	 	836.86228	255.31678	 	 	 	 
68	 	 	 	 	 	 	 	 	 	808.35591	256.95937	 	839.17400	258.14058	 	 	 	 
69	 	 	 	 	 	 	 	 	 	807.87067	258.36256	 	838.15782	258.24718	 	 	 	 
70	 	 	 	 	 	 	 	 	 	808.50316	262.08629	 	838.03895	254.77511	 	 	 	 
71	 	 	 	 	 	 	 	 	 	809.49802	262.85297	 	839.52821	255.23899	 	 	 	 
72	 	 	 	 	 	 	 	 	 	809.92013	264.60901	 	838.09462	253.88274	 	 	 	 
73	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
74	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
75	 	 	 	 	 	 	 	 	 	808.59451	262.35617	*	838.08301	254.72543	*	 	 	 
76	 	 	 	 	 	 	 	 	 	808.30880	259.96110	 	838.76495	255.95653	 	 	 	 
77	 	 	 	 	 	 	 	 	 	808.05273	256.01983	 	838.63508	258.44475	 	 	 	 
78	 	 	 	 	 	 	 	 	 	808.57317	252.37208	 	838.24642	259.00572	 	 	 	 
79	 	 	 	 	 	 	 	 	 	808.01970	253.41776	 	837.56202	259.59521	 	 	 	 
80	 	 	 	 	 	 	 	 	 	807.05729	259.49461	 	836.72976	255.49054	 	 	 	 
81	 	 	 	 	 	 	 	 	 	807.13732	258.69581	 	837.06830	256.06766	 	 	 	 
82	 	 	 	 	 	 	 	 	 	806.36396	257.28905	 	836.16790	256.73414	 	 	 	 
83	 	 	 	 	 	 	 	 	 	806.35101	258.38051	 	836.14444	255.95751	 	 	 	 
84	 	 	 	 	 	 	 	 	 	806.06445	256.05434	 	835.72984	257.24181	 	 	 	 
85	 	 	 	 	 	 	 	 	 	806.01050	254.57490	 	835.25272	257.93275	 	 	 	 
86	 	 	 	 	 	 	 	 	 	805.62731	255.06309	 	834.90687	257.54978	 	 	 	 
87	 	 	 	 	 	 	 	 	 	806.77058	255.06798	 	836.41362	258.20016	 	 	 	 
88	 	 	 	 	 	 	 	 	 	806.85117	259.33261	 	836.54567	255.51394	 	 	 	 
89	 	 	 	 	 	 	 	 	 	807.35759	257.32844	 	837.67021	256.73695	 	 	 	 
90	 	 	 	 	 	 	 	 	 	807.50341	252.75511	 	836.14187	260.46992	 	 	 	 
91	 	 	 	 	 	 	 	 	 	807.62507	252.82887	 	836.43229	260.43280	 	 	 	 
92	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
93	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
94	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
95	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
96	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
97	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
99	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
100	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
101	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	818.56728	254.95339	 
