Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12	X13	Y13	Flag13	X14	Y14	Flag14	X15	Y15	Flag15	X16	Y16	Flag16	X17	Y17	Flag17	X18	Y18	Flag18	X19	Y19	Flag19	X20	Y20	Flag20	X21	Y21	Flag21	X22	Y22	Flag22	X23	Y23	Flag23	X24	Y24	Flag24	X25	Y25	Flag25	X26	Y26	Flag26	X27	Y27	Flag27	X28	Y28	Flag28	X29	Y29	Flag29	X30	Y30	Flag30	X31	Y31	Flag31	X32	Y32	Flag32	X33	Y33	Flag33	X34	Y34	Flag34	X35	Y35	Flag35	X36	Y36	Flag36	X37	Y37	Flag37	X38	Y38	Flag38	X39	Y39	Flag39
Tracks 1 to 39
10	424.16666	852.625	*	1201.5	637.5	*	1383.0	461.0	*	923.7593	993.1667	*	83.7	952.8	*	600.625	414.5	*	83.73529	969.44116	*	46.633335	453.7	*	523.87036	149.90741	*	605.5	357.35715	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11	422.41306	853.2826	*	1382.3823	459.91177	*	1409.2084	241.625	*	755.63336	893.0333	*	345.91666	572.9167	*	647.125	754.3125	*	42.0	455.73077	*	8.5	424.26666	*	458.57144	39.857143	*	180.5	286.44116	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
12	423.07693	852.3461	*	1207.9	641.1	*	1314.2826	46.065216	*	923.36664	994.3	*	346.18182	571.7727	*	963.6	1028.3	*	43.0	457.5	*	198.0	451.18182	*	509.94446	157.16667	*	179.875	285.6875	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
13	420.93478	850.76086	*	1172.26	446.22	*	1119.8334	21.958334	*	965.08826	1027.2059	*	43.738094	457.6905	*	1042.3462	1034.1538	*	171.6875	266.6875	*	458.6111	43.444443	*	1013.55	174.75	*	1120.2241	13.465517	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
14	422.71738	850.413	*	1176.0555	444.1111	*	1400.4667	3.5	*	1042.909	1035.3636	*	46.807693	455.0	*	1048.3125	992.0625	*	442.25	576.3214	*	828.0517	223.2931	*	1013.0926	330.05554	*	839.23334	228.5	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
15	418.22	852.06	*	1010.88464	331.8846	*	1120.638	17.810345	*	1042.1666	1034.5	*	44.0	454.5	*	1052.0294	997.08826	*	605.6923	164.8077	*	825.3261	220.19565	*	1014.0	173.0	*	620.15515	150.08621	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
16	420.0	851.5	*	1011.76666	333.43332	*	1284.7667	54.1	*	1042.2778	1035.0555	*	44.153847	452.6154	*	656.625	562.625	*	606.6786	167.75	*	776.7222	262.0	*	1014.375	173.45833	*	608.9667	148.63333	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
17	421.8913	853.7174	*	774.22	264.3	*	1120.1666	19.88889	*	325.95456	1039.591	*	45.9	451.18	*	616.2895	167.3421	*	518.119	156.7381	*	515.62	132.14	*	1408.5625	244.0	*	6.4130435	424.32608	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18	418.0926	855.05554	*	607.5	149.55	*	1076.18	2.74	*	964.78	1027.02	*	44.96154	452.65384	*	519.5833	154.0	*	507.32352	151.02942	*	344.6154	1.3076923	*	1314.9762	50.02381	*	1011.9138	336.7414	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
19	417.625	855.5	*	515.5	131.75	*	1120.54	18.3	*	909.7381	821.0238	*	47.0	453.5	*	508.0	133.04167	*	348.0	1.3333334	*	656.7308	316.46155	*	1344.9783	293.5435	*	1013.625	339.83334	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20	415.13333	852.86664	*	507.9091	150.77272	*	1076.5	3.2777777	*	749.56665	942.76666	*	42.333332	455.625	*	606.8333	169.1	*	172.5	266.75	*	657.4091	315.5	*	1300.569	324.5	*	1010.7917	340.5	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21	418.375	852.3333	*	511.29166	159.33333	*	1075.6666	3.2333333	*	764.8333	903.23334	*	44.907406	458.05554	*	532.44116	142.14706	*	172.4	264.85	*	596.125	363.58334	*	1011.36365	339.5	*	288.97058	407.91177	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
22	416.57407	851.9074	*	515.36365	131.86363	*	1177.6052	285.8684	*	597.8889	363.83334	*	44.0	460.5	*	528.35	132.5	*	172.35715	266.64285	*	656.5	316.27777	*	825.56665	249.76666	*	199.39473	475.23685	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
23	422.25	852.125	*	509.60715	133.17857	*	1008.6667	337.04166	*	614.9	190.7	*	44.54	461.74	*	526.5	143.0	*	39.32353	138.85294	*	615.2	162.3	*	413.92856	195.64285	*	296.63635	431.5909	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
24	423.5909	850.5909	*	412.25	195.125	*	1215.95	3.45	*	202.5	473.56668	*	44.0	462.77274	*	71.02941	756.0294	*	54.409092	758.9091	*	1285.2	52.9	*	67.22	763.42	*	1042.638	1035.4656	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
25	424.3095	850.4524	*	500.16666	144.9	*	1216.5625	3.3125	*	41.425926	464.0926	*	49.9	770.05	*	121.63333	856.63336	*	129.36363	852.4091	*	618.2308	169.1923	*	313.85294	1040.5	*	1401.45	1078.15	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
