Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12	X13	Y13	Flag13	X14	Y14	Flag14	X15	Y15	Flag15	X16	Y16	Flag16	X17	Y17	Flag17
Tracks 1 to 17
16	1266.6754	1.377193	*	20.954908	165.49153	*	100.63077	178.41086	*	337.159	219.28223	*	277.42313	284.94455	*	875.6452	417.55328	*	1136.8032	455.7814	*	390.3128	511.50723	*	1244.1624	534.1021	*	640.5287	592.7053	*	513.05963	685.1687	*	1286.1431	718.4845	*	431.35086	720.95013	*	604.7004	840.8984	*	705.48425	925.08026	*	 	 	 	 	 	 
17	1267.7632	1.4298246	*	21.094555	165.45396	*	100.5615	178.0745	*	337.80698	219.06073	*	277.419	284.8487	*	875.87714	417.4638	*	1136.6432	455.3104	*	390.22858	510.8845	*	1244.2643	533.7031	*	640.6583	592.24805	*	512.50696	685.1562	*	1286.1055	719.3114	*	431.02902	721.26245	*	605.10944	840.0467	*	704.6372	924.4069	*	 	 	 	 	 	 
18	1267.7	1.6142857	*	21.56305	165.36804	*	99.71591	179.1609	*	338.14978	219.3324	*	277.45297	285.01443	*	875.3381	417.64893	*	1136.2816	455.49384	*	389.06076	510.99185	*	1244.44	533.7199	*	639.95154	591.95197	*	512.21625	686.03986	*	1285.458	720.2612	*	430.2534	721.04614	*	604.2929	840.14124	*	703.86285	923.9857	*	 	 	 	 	 	 
19	1267.0616	1.6643835	*	21.452475	165.80573	*	99.55928	179.531	*	337.84338	219.55888	*	277.38626	285.05292	*	875.6816	416.7638	*	1136.6581	455.35458	*	389.2908	511.00262	*	1244.4222	533.5224	*	640.8425	591.9309	*	511.8651	686.02374	*	1285.0708	720.26825	*	429.87958	720.76074	*	605.18085	840.6042	*	704.72565	923.8718	*	 	 	 	 	 	 
20	1266.9166	1.4833333	*	21.21513	165.57985	*	99.435936	179.43503	*	337.51407	220.31349	*	277.43155	285.03445	*	875.88135	416.64178	*	1136.4009	455.25397	*	389.56604	511.10046	*	1243.6177	532.8672	*	641.59216	592.045	*	511.4842	686.1366	*	1285.166	720.09766	*	429.36832	721.34705	*	605.5975	840.6391	*	704.8686	924.1538	*	 	 	 	 	 	 
21	1265.6364	1.5757576	*	20.813	165.51	*	100.10764	179.26195	*	337.75198	220.52248	*	277.45007	285.0315	*	876.5093	416.47803	*	1136.6215	454.89383	*	389.7147	510.42316	*	1243.6229	532.87384	*	641.8884	592.8876	*	511.2278	686.1234	*	1284.6248	719.66785	*	429.4869	721.51666	*	605.28925	840.707	*	705.9289	923.7252	*	 	 	 	 	 	 
22	1265.6466	1.6866666	*	20.99826	164.95401	*	100.86004	178.68616	*	337.84222	220.45552	*	277.48975	284.9525	*	877.49567	416.32938	*	1136.7253	455.02127	*	389.889	509.95407	*	1244.0286	533.09357	*	641.6442	592.76434	*	510.9626	685.13086	*	1284.739	719.00476	*	429.79697	721.06287	*	605.4551	840.68475	*	705.9403	923.1334	*	 	 	 	 	 	 
23	1265.551	2.0204082	*	21.088879	164.83813	*	100.71582	178.80087	*	337.17883	221.33849	*	277.4856	284.9468	*	877.26373	416.11856	*	1135.7374	454.66592	*	390.3219	510.18698	*	1243.5424	532.9735	*	641.1809	592.54663	*	510.02658	685.18427	*	1285.1143	719.0216	*	429.4761	720.569	*	606.1624	840.0236	*	706.8044	923.3936	*	 	 	 	 	 	 
24	1265.3727	2.090909	*	20.59123	165.40071	*	100.315186	178.91125	*	336.56354	221.43411	*	277.4189	284.87277	*	877.60846	416.62906	*	1136.0542	454.3609	*	390.49188	509.6611	*	1243.2756	532.40826	*	640.77637	592.5048	*	509.47546	685.01135	*	1285.2689	719.44543	*	429.28183	719.5814	*	606.19763	839.85565	*	706.73285	923.24225	*	 	 	 	 	 	 
25	1265.6083	2.325	*	20.44264	165.96852	*	100.1	179.17844	*	335.7902	221.36076	*	277.4781	285.01468	*	877.76685	416.22507	*	1136.1581	454.75455	*	390.70718	510.37097	*	1242.9757	532.94244	*	640.9841	591.9082	*	509.9298	684.8961	*	1285.3875	719.7349	*	429.86844	719.2346	*	607.35645	839.48676	*	707.6279	923.2056	*	 	 	 	 	 	 
26	1265.3165	2.1238532	*	19.950104	167.1034	*	99.57509	180.1621	*	336.40375	221.53192	*	277.4413	285.10318	*	877.485	415.2183	*	1136.0616	454.77206	*	390.70316	511.02438	*	1243.3463	533.54004	*	640.6854	592.51263	*	510.32733	685.6948	*	1285.0093	719.4833	*	429.65555	719.20776	*	607.2833	839.7327	*	708.25024	923.67883	*	 	 	 	 	 	 
27	1266.0145	2.0631068	*	19.989176	167.45412	*	99.574005	180.34422	*	336.87677	220.99765	*	277.44595	284.99582	*	877.6589	415.01068	*	1136.1571	454.98767	*	390.75766	510.94827	*	1243.9277	534.5129	*	641.2434	591.9098	*	511.31525	685.7629	*	1285.5785	719.051	*	430.38733	718.6708	*	608.13684	840.053	*	708.85034	923.3819	*	 	 	 	 	 	 
28	1266.2646	2.0490196	*	19.277836	167.75383	*	99.23713	181.03539	*	337.22852	221.19093	*	277.39877	285.10913	*	877.5488	415.2789	*	1135.6217	455.98477	*	389.98712	510.91318	*	1243.224	534.4499	*	641.2549	591.8174	*	511.98663	685.7034	*	1285.332	719.0867	*	430.8127	718.9059	*	607.2225	840.45605	*	707.9748	922.9322	*	 	 	 	 	 	 
29	1265.9215	2.0490196	*	19.578247	168.22249	*	99.13949	180.30348	*	337.20416	220.87271	*	277.3633	285.01465	*	878.04443	414.73416	*	1136.0631	455.94366	*	390.11377	510.20697	*	1243.8909	534.14136	*	641.31165	591.27295	*	512.7462	685.5363	*	1285.451	718.66693	*	430.53012	717.93616	*	607.3495	840.6468	*	708.0324	923.5744	*	 	 	 	 	 	 
30	1265.909	2.1454546	*	19.693953	167.99687	*	99.040924	180.46571	*	336.9472	220.81122	*	277.52	284.8986	*	878.2272	413.94077	*	1135.5114	456.82837	*	390.4381	510.7548	*	1243.6882	533.6163	*	641.9172	591.76636	*	513.52405	685.0719	*	1285.4728	718.8225	*	430.79407	717.92084	*	608.20636	840.6229	*	708.0924	924.2546	*	 	 	 	 	 	 
31	1265.6552	2.2413793	*	19.747278	167.41031	*	98.74322	179.99655	*	336.78873	220.79808	*	277.4837	284.83984	*	878.45654	414.05173	*	1135.3096	456.68295	*	390.29083	510.81375	*	1243.7782	533.5802	*	641.5096	591.48303	*	514.14404	684.9882	*	1285.6416	719.2673	*	430.75607	718.527	*	608.4641	839.9457	*	707.58246	924.22906	*	 	 	 	 	 	 
32	1266.2767	2.1019418	*	19.928276	166.84334	*	98.741776	179.74315	*	337.04672	220.25093	*	277.46378	284.85022	*	878.81525	414.10242	*	1135.6262	456.22653	*	390.47006	511.1635	*	1243.2113	533.7388	*	641.8664	592.4711	*	513.9614	685.07605	*	1286.1284	718.8215	*	431.32593	718.6458	*	609.54114	839.6096	*	707.2957	924.8394	*	 	 	 	 	 	 
33	1265.5667	2.0809524	*	19.677975	167.06941	*	98.6863	180.22694	*	337.42218	220.56151	*	277.34253	285.15	*	878.5824	414.5464	*	1135.1964	457.12598	*	390.64212	511.87006	*	1242.8036	533.86304	*	641.34174	592.8313	*	513.7614	685.439	*	1284.7242	718.7305	*	430.18405	719.2977	*	609.4877	840.96875	*	707.61084	924.79956	*	 	 	 	 	 	 
34	1266.1814	2.1460178	*	19.320189	167.01262	*	98.27707	180.40082	*	337.9472	220.22243	*	277.3431	285.13782	*	878.81024	414.56296	*	1136.1184	456.41687	*	391.0533	512.3441	*	1243.4069	533.92065	*	641.32983	592.79175	*	513.7847	686.1676	*	1285.1277	718.48206	*	430.60333	719.7147	*	609.1196	841.30273	*	708.92847	924.1867	*	 	 	 	 	 	 
35	1265.3031	2.3818898	*	19.018183	168.19412	*	97.86293	180.28598	*	337.70975	219.5492	*	277.44037	285.09924	*	878.4436	414.3059	*	1136.0602	456.6101	*	390.7646	512.8172	*	1244.0953	533.80383	*	640.87396	593.1173	*	513.2669	686.0185	*	1285.2483	717.8987	*	430.52917	719.44885	*	608.9124	840.86816	*	709.04895	924.1012	*	 	 	 	 	 	 
36	1265.7017	2.3235295	*	19.156052	168.39755	*	97.66204	179.39941	*	337.94238	219.5	*	277.41794	284.9662	*	878.19006	413.6218	*	1135.7028	456.2886	*	390.53006	512.1964	*	1244.6755	533.50916	*	640.97906	593.1165	*	513.33887	685.4853	*	1285.2341	718.1742	*	430.6259	718.951	*	608.6199	840.9941	*	709.426	923.60443	*	 	 	 	 	 	 
37	1265.8966	2.1982758	*	19.002405	168.69241	*	97.51047	179.96315	*	337.27597	219.31772	*	277.45572	284.88135	*	878.2436	413.07193	*	1135.5004	456.2141	*	391.66043	511.68732	*	1244.7875	533.48627	*	640.2817	592.99207	*	513.0069	685.47784	*	1284.7958	717.7146	*	430.5879	719.4405	*	607.1465	841.07025	*	708.9109	922.65607	*	 	 	 	 	 	 
38	1266.1154	2.2179487	*	18.998394	169.29979	*	97.65935	180.66388	*	337.73782	219.63213	*	277.4228	285.00464	*	878.879	413.01056	*	1135.645	456.79965	*	391.48413	512.19196	*	1244.4344	533.20874	*	639.9007	592.4728	*	512.64276	685.7782	*	1285.0095	718.52716	*	430.2014	719.8956	*	606.2819	840.78143	*	708.04834	922.7069	*	 	 	 	 	 	 
39	1266.6705	2.352713	*	18.922953	168.89224	*	97.8344	180.43912	*	337.92075	220.26811	*	277.36975	285.0607	*	880.1844	412.32123	*	1136.6903	455.8203	*	391.60553	512.7	*	1244.6577	532.9516	*	640.0275	591.9483	*	512.1322	686.09393	*	1285.4686	718.6114	*	429.32428	720.1027	*	605.9915	840.6342	*	707.5988	923.6885	*	 	 	 	 	 	 
40	1267.0189	2.1509433	*	18.888172	168.94301	*	97.243774	180.45518	*	337.82886	221.0569	*	277.39688	285.19714	*	880.63477	412.74582	*	1136.2738	455.59192	*	391.38525	514.0478	*	1244.9298	533.6509	*	639.5463	591.4475	*	511.87292	686.06195	*	1284.8423	718.16516	*	428.79184	720.69574	*	605.9896	840.2326	*	707.5981	924.7656	*	 	 	 	 	 	 
41	1267.2273	2.0151515	*	19.316025	168.36926	*	97.72343	179.82248	*	338.5388	221.07103	*	277.4804	284.99185	*	880.76355	412.6993	*	1136.308	455.64423	*	392.10114	513.5703	*	1245.6593	533.8512	*	639.4296	591.92413	*	511.24225	686.2192	*	1284.9226	718.24475	*	428.71426	720.66943	*	606.17786	839.47217	*	708.552	924.1404	*	 	 	 	 	 	 
42	1268.1588	1.8176471	*	19.534138	167.67752	*	98.09476	179.39552	*	339.12927	221.22604	*	277.50095	284.84872	*	881.7373	412.17487	*	1136.6747	455.7558	*	391.30515	513.3037	*	1245.4839	534.20355	*	639.8644	591.8235	*	512.1184	686.5562	*	1285.4089	718.034	*	428.53104	720.57825	*	605.4967	839.22894	*	708.59717	923.33167	*	 	 	 	 	 	 
43	1267.9166	1.4166666	*	19.635319	168.26332	*	98.12998	178.91078	*	338.97284	220.81584	*	277.48743	284.8442	*	881.824	413.1375	*	1137.1559	456.49356	*	391.2089	513.381	*	1246.4458	534.21533	*	640.14667	591.82336	*	512.3905	686.27045	*	1285.4106	717.17474	*	428.79907	721.15155	*	605.4849	838.7792	*	708.64417	923.9883	*	 	 	 	 	 	 
44	1268.1078	1.2843137	*	19.234966	168.24028	*	97.73473	178.5995	*	339.05316	220.99742	*	277.34677	284.9299	*	882.6601	413.0974	*	1137.4955	457.018	*	391.08676	513.5657	*	1246.7681	534.0292	*	640.48816	592.8282	*	512.41113	685.97015	*	1286.3258	716.31946	*	428.42554	720.61847	*	604.6332	839.7064	*	708.9669	924.6216	*	 	 	 	 	 	 
45	1267.0781	1.4375	*	19.34717	168.65283	*	98.393456	178.88374	*	339.58963	221.11812	*	277.4612	285.1743	*	883.081	412.86655	*	1137.3204	457.10822	*	391.24573	513.4614	*	1246.819	534.1907	*	640.36395	593.2331	*	512.38715	686.14294	*	1286.1027	717.106	*	426.89587	720.6697	*	604.69867	840.55725	*	709.5945	925.1854	*	 	 	 	 	 	 
46	1266.7693	1.25	*	19.206696	168.1153	*	98.25744	178.78178	*	338.86893	220.74394	*	277.325	285.21255	*	883.4939	413.0395	*	1137.7618	456.84125	*	391.0162	513.00574	*	1246.9618	533.3766	*	640.5188	593.92316	*	512.1176	685.4726	*	1284.8114	716.56256	*	426.44617	720.40576	*	603.58264	840.1094	*	708.8186	926.091	*	 	 	 	 	 	 
47	1267.6578	0.81578946	*	19.044338	167.50374	*	97.78036	178.29684	*	339.52142	220.67326	*	277.41248	285.04144	*	883.4066	413.15125	*	1137.8243	456.5587	*	391.3279	513.1606	*	1247.3905	532.7847	*	640.9481	593.64777	*	511.60825	685.5569	*	1285.043	716.05817	*	425.87314	720.2162	*	603.088	840.3479	*	707.7694	925.3403	*	 	 	 	 	 	 
