Frame	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X10	Y10	Flag10	X13	Y13	Flag13	X14	Y14	Flag14	X17	Y17	Flag17	X18	Y18	Flag18	X2	Y2	Flag2	X9	Y9	Flag9	X12	Y12	Flag12	X16	Y16	Flag16	X20	Y20	Flag20	X21	Y21	Flag21	X1	Y1	Flag1	X8	Y8	Flag8	X11	Y11	Flag11	X15	Y15	Flag15	X19	Y19	Flag19
12	20.8260	166.4413	0	100.6354	179.3174	0	337.8161	218.8133	0	277.5019	284.8324	0	877.2123	417.1475	0	391.6448	510.4426	0	643.1226	591.7355	0	513.7158	686.1571	0	430.7311	721.3056	0	605.1695	842.7258	0	1137.8335	454.5274	0	1247.2559	535.4295	0	1285.0980	719.6950	0	711.6897	924.0903	0	1270.5000	1.5909	0	1264.5865	2.1250	0	1267.5728	1.3545	0	1137.6174	456.1957	0	1243.4592	534.6464	0	1286.8219	717.9264	0	703.0229	924.8169	0
13	20.5473	165.7580	0	100.4592	179.3958	0	337.5666	219.9778	0	277.4195	285.0002	0	876.3861	417.5754	0	390.8060	510.9092	0	642.6447	591.4535	0	512.9382	686.0951	0	431.0666	721.9606	0	604.7026	842.8826	0	1138.5741	454.4089	0	1247.4738	535.6172	0	1285.5060	719.0928	0	711.3624	923.6505	0	1270.0823	1.7278	0	1264.5900	2.0700	0	1267.6200	1.3200	0	1137.3029	456.2673	0	1243.1187	534.8410	0	1286.4095	718.3502	0	702.4754	924.9081	0
14	20.9737	165.5496	0	100.8005	179.4483	0	337.7067	219.7213	0	277.3801	285.0833	0	875.3472	417.6860	0	390.3233	511.0739	0	642.2562	591.7155	0	512.8647	686.0468	0	431.4665	721.8022	0	604.9957	842.3914	0	1138.9712	454.1047	0	1247.6886	535.7532	0	1285.5054	719.1581	0	709.6903	924.6057	0	1269.6714	1.6000	0	1264.8396	2.1038	0	1268.0094	1.3491	0	1137.3275	455.8168	0	1243.8867	533.8090	0	1286.5961	718.1028	0	703.3151	924.8035	0
15	20.9252	165.3311	0	101.0802	178.8930	0	337.5784	219.7433	0	277.4263	285.0667	0	875.3938	417.7862	0	390.1402	511.7259	0	641.4878	591.9451	0	512.8826	685.5818	0	431.0828	721.8882	0	604.9715	841.7004	0	1139.0040	454.1320	0	1247.2712	535.7899	0	1285.6073	719.3348	0	709.4173	926.0321	0	1270.7363	1.3182	0	1263.9337	1.8012	0	1267.3000	1.3909	0	1137.1719	455.8979	0	1243.7280	534.0599	0	1286.4167	718.3001	0	704.9063	925.2112	0
16	20.9549	165.4915	0	100.6308	178.4109	0	337.1590	219.2822	0	277.4231	284.9445	0	875.6452	417.5533	0	390.3128	511.5072	0	640.5287	592.7053	0	513.0596	685.1687	0	431.3509	720.9501	0	604.7004	840.8984	0	1139.1590	454.0979	0	1247.2885	535.7777	0	1285.9167	719.2608	0	709.7963	926.9704	0	1271.6887	1.3868	0	1264.3695	1.9239	0	1266.6754	1.3772	0	1136.8032	455.7814	0	1244.1624	534.1021	0	1286.1431	718.4845	0	705.4842	925.0803	0
17	21.0946	165.4540	0	100.5615	178.0745	0	337.8070	219.0607	0	277.4190	284.8487	0	875.8771	417.4638	0	390.2286	510.8845	0	640.6583	592.2481	0	512.5070	685.1562	0	431.0290	721.2624	0	605.1094	840.0467	0	1140.1058	454.4114	0	1247.6835	536.8032	0	1285.9371	720.2260	0	709.8181	927.5543	0	1271.8729	1.3475	0	1263.9019	2.1262	0	1267.7632	1.4298	0	1136.6432	455.3104	0	1244.2643	533.7031	0	1286.1055	719.3114	0	704.6372	924.4069	0
18	21.5631	165.3680	0	99.7159	179.1609	0	338.1498	219.3324	0	277.4530	285.0144	0	875.3381	417.6489	0	389.0608	510.9918	0	639.9515	591.9520	0	512.2162	686.0399	0	430.2534	721.0461	0	604.2929	840.1412	0	1140.7715	454.1794	0	1247.6912	537.6519	0	1286.3243	720.5284	0	709.8863	926.8399	0	1271.6923	1.7179	0	1264.3016	2.2857	0	1267.7000	1.6143	0	1136.2816	455.4938	0	1244.4400	533.7199	0	1285.4580	720.2612	0	703.8628	923.9857	0
19	21.4525	165.8057	0	99.5593	179.5310	0	337.8434	219.5589	0	277.3863	285.0529	0	875.6816	416.7638	0	389.2908	511.0026	0	640.8425	591.9309	0	511.8651	686.0237	0	429.8796	720.7607	0	605.1808	840.6042	0	1140.5142	454.5248	0	1248.2736	537.1022	0	1285.4015	719.9108	0	710.1556	926.0054	0	1272.3062	2.0306	0	1263.7797	2.5280	0	1267.0616	1.6644	0	1136.6581	455.3546	0	1244.4222	533.5224	0	1285.0708	720.2682	0	704.7256	923.8718	0
20	21.2151	165.5798	0	99.4359	179.4350	0	337.5141	220.3135	0	277.4316	285.0344	0	875.8813	416.6418	0	389.5660	511.1005	0	641.5922	592.0450	0	511.4842	686.1366	0	429.3683	721.3470	0	605.5975	840.6391	0	1140.8013	455.0851	0	1248.6244	537.0910	0	1285.4193	719.5353	0	711.2557	925.0742	0	1272.0638	1.9468	0	1264.3334	2.5933	0	1266.9166	1.4833	0	1136.4009	455.2540	0	1243.6177	532.8672	0	1285.1660	720.0977	0	704.8686	924.1538	0
21	20.8130	165.5100	0	100.1076	179.2620	0	337.7520	220.5225	0	277.4501	285.0315	0	876.5093	416.4780	0	389.7147	510.4232	0	641.8884	592.8876	0	511.2278	686.1234	0	429.4869	721.5167	0	605.2893	840.7070	0	1140.8080	455.0525	0	1248.7954	537.4789	0	1285.6729	719.6415	0	710.9905	925.0644	0	1271.8882	1.7235	0	1264.3345	2.5621	0	1265.6364	1.5758	0	1136.6215	454.8938	0	1243.6229	532.8738	0	1284.6248	719.6679	0	705.9289	923.7252	0
22	20.9983	164.9540	0	100.8600	178.6862	0	337.8422	220.4555	0	277.4898	284.9525	0	877.4957	416.3294	0	389.8890	509.9541	0	641.6442	592.7643	0	510.9626	685.1309	0	429.7970	721.0629	0	605.4551	840.6848	0	1140.2118	454.8699	0	1247.8407	538.2006	0	1285.7268	720.6695	0	710.7974	926.2587	0	1272.3620	1.8103	0	1264.6280	2.3320	0	1265.6466	1.6867	0	1136.7253	455.0213	0	1244.0286	533.0936	0	1284.7390	719.0048	0	705.9403	923.1334	0
