Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7
Tracks 1 to 7
51	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
52	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
53	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
54	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
55	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
56	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
57	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
59	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
61	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
62	 	 	 	 	 	 	 	 	 	1120.25686	69.94935	 	 	 	 	 	 	 	 	 	 
63	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
64	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
65	 	 	 	 	 	 	 	 	 	1124.50409	70.32058	*	 	 	 	 	 	 	 	 	 
66	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
67	 	 	 	 	 	 	 	 	 	1124.68078	70.62851	*	 	 	 	 	 	 	 	 	 
68	 	 	 	 	 	 	 	 	 	1125.87626	70.11514	 	 	 	 	 	 	 	 	 	 
69	 	 	 	 	 	 	 	 	 	1128.00955	69.95227	 	 	 	 	 	 	 	 	 	 
70	 	 	 	 	 	 	 	 	 	1129.76933	69.30588	 	536.21845	859.49340	 	 	 	 	 	 	 
71	 	 	 	 	 	 	 	 	 	1127.43647	70.03580	 	 	 	 	 	 	 	 	 	 
72	 	 	 	 	 	 	 	 	 	1126.47260	70.11865	 	 	 	 	 	 	 	 	 	 
73	 	 	 	 	 	 	 	 	 	1130.60017	68.97821	 	536.41129	855.94956	*	 	 	 	 	 	 
74	 	 	 	 	 	 	 	 	 	 	 	 	536.62798	854.51671	 	 	 	 	 	 	 
75	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
76	 	 	 	 	 	 	 	 	 	 	 	 	537.11087	859.34265	*	 	 	 	 	 	 
77	 	 	 	 	 	 	 	 	 	1122.84500	70.69153	*	536.92233	858.62580	 	 	 	 	 	 	 
78	 	 	 	 	 	 	 	 	 	 	 	 	536.96562	856.59019	 	 	 	 	 	 	 
79	 	 	 	 	 	 	 	 	 	 	 	 	536.90866	858.18749	 	 	 	 	 	 	 
80	 	 	 	 	 	 	 	 	 	1121.02721	70.29624	*	537.74782	860.22601	 	 	 	 	 	 	 
81	 	 	 	 	 	 	 	 	 	1124.53288	70.34520	 	 	 	 	 	 	 	 	 	 
82	 	 	 	 	 	 	 	 	 	1125.65860	70.26812	 	536.13801	855.05254	*	 	 	 	 	 	 
83	 	 	 	 	 	 	 	 	 	1123.28011	70.42538	 	 	 	 	 	 	 	 	 	 
84	 	 	 	 	 	 	 	 	 	1127.55750	70.00641	 	 	 	 	 	 	 	 	 	 
85	 	 	 	 	 	 	 	 	 	1130.37014	69.03577	 	 	 	 	 	 	 	 	 	 
86	 	 	 	 	 	 	 	 	 	1126.87592	70.00966	 	549.38882	873.02528	*	 	 	 	 	 	 
87	 	 	 	 	 	 	 	 	 	1127.46655	69.76547	 	 	 	 	 	 	 	 	 	 
88	 	 	 	 	 	 	 	 	 	1129.48207	69.67550	 	 	 	 	 	 	 	 	 	 
89	 	 	 	 	 	 	 	 	 	1126.97927	69.96625	 	554.36314	872.65791	*	 	 	 	 	 	 
90	 	 	 	 	 	 	 	 	 	1126.52237	70.13483	 	560.05192	871.88581	 	 	 	 	 	 	 
91	 	 	 	 	 	 	 	 	 	1129.87110	69.25943	 	 	 	 	 	 	 	 	 	 
92	 	 	 	 	 	 	 	 	 	1125.73639	70.27571	 	 	 	 	 	 	 	 	 	 
93	 	 	 	 	 	 	 	 	 	1124.20634	70.96530	 	561.00319	871.41972	*	 	 	 	 	 	 
94	 	 	 	 	 	 	 	 	 	1126.60981	70.32623	 	 	 	 	 	 	 	 	 	 
95	 	 	 	 	 	 	 	 	 	1129.69959	69.35562	 	 	 	 	 	 	 	 	 	 
96	 	 	 	 	 	 	 	 	 	1128.72005	70.20582	 	554.64637	872.79107	*	1187.14350	126.95072	 	 	 	 
97	 	 	 	 	 	 	 	 	 	1130.99981	69.05071	 	559.00840	872.90006	 	 	 	 	 	 	 
98	 	 	 	 	 	 	 	 	 	1132.38762	67.48942	 	 	 	 	1200.00000	126.00000	*	 	 	 
99	 	 	 	 	 	 	 	 	 	1130.42972	69.21189	 	558.98233	872.20926	*	 	 	 	 	 	 
100	 	 	 	 	 	 	 	 	 	1129.80620	69.50319	 	558.51012	872.38369	 	 	 	 	 	 	 
101	 	 	 	 	 	 	 	 	 	1133.81765	65.76579	 	 	 	 	1201.50000	126.00000	*	567.15404	859.03408	 
102	 	 	 	 	 	 	 	 	 	1132.77403	66.95401	 	 	 	 	 	 	 	566.08599	865.24718	 
103	 	 	 	 	 	 	 	 	 	1131.85386	68.36079	 	 	 	 	1187.35794	126.34756	*	564.46743	868.59838	 
104	 	 	 	 	 	 	 	 	 	1134.38688	64.80813	 	 	 	 	 	 	 	566.79605	863.88825	 
105	 	 	 	 	 	 	 	 	 	1134.81640	64.32980	 	 	 	 	 	 	 	565.52855	867.08366	 
106	 	 	 	 	 	 	 	 	 	1133.08840	66.75824	 	 	 	 	1186.90318	124.78631	*	564.00016	868.90818	 
107	 	 	 	 	 	 	 	 	 	1133.51800	66.18716	 	 	 	 	1186.80566	126.89726	 	563.35330	869.80515	 
108	 	 	 	 	 	 	 	 	 	1133.95373	65.31826	 	 	 	 	1186.70057	126.27888	 	564.05932	869.09672	 
109	 	 	 	 	 	 	 	 	 	1134.22404	64.84377	 	 	 	 	1186.60287	126.92837	 	562.05422	870.81787	 
110	 	 	 	 	 	 	 	 	 	1133.73776	66.12654	 	 	 	 	1186.83119	129.13905	 	560.97610	871.55526	 
111	 	 	 	 	 	 	 	 	 	1134.07000	65.37063	 	 	 	 	1186.35677	126.68307	 	561.15589	871.48997	 
112	 	 	 	 	 	 	 	 	 	1135.54314	62.45686	 	 	 	 	1186.31974	126.10116	 	560.22152	872.01094	 
113	 	 	 	 	 	 	 	 	 	1135.37586	63.14795	 	 	 	 	1186.93859	130.43038	 	558.28441	873.27122	 
114	 	 	 	 	 	 	 	 	 	1135.92877	60.60095	 	 	 	 	1186.81661	129.94611	 	557.78021	873.60279	 
115	 	 	 	 	 	 	 	 	 	1136.43350	56.47508	 	 	 	 	1186.44587	125.31707	 	559.21788	872.72130	 
116	 	 	 	 	 	 	 	 	 	1136.50159	59.01016	 	 	 	 	1186.14520	125.22710	 	558.53020	873.12011	 
117	 	 	 	 	 	 	 	 	 	1136.15220	59.98779	 	 	 	 	1186.19535	126.03224	 	558.83812	873.13023	 
118	 	 	 	 	 	 	 	 	 	1136.28885	53.17747	 	 	 	 	1186.40494	122.08029	 	558.30391	873.10940	 
119	 	 	 	 	 	 	 	 	 	1135.39786	50.48553	 	 	 	 	1187.49953	119.09427	 	557.37965	873.17559	 
120	 	 	 	 	 	 	 	 	 	1135.57752	51.45449	 	 	 	 	1186.76059	121.25136	 	555.25544	873.67273	 

Track 	Length	Distance traveled	Nr of Frames
1	41.85791	6.15615	27
2	54.69519	5.98582	20
3	89.94797	23.42163	25
4	121.48069	24.01630	51
5	68.02517	25.75031	17
6	58.92324	5.71221	19
7	37.76038	18.86443	20
