Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7
Tracks 1 to 7
47	 	 	 	855.05016	336.67094	 	866.42302	669.25411	 	874.16047	678.49055	 	852.32710	322.53741	 	 	 	 	 	 	 
48	 	 	 	854.81718	336.27147	 	 	 	 	871.65095	678.63091	 	853.66747	320.56828	 	 	 	 	 	 	 
49	 	 	 	854.27961	338.04324	 	 	 	 	870.11590	679.52757	 	856.22189	322.09321	 	 	 	 	 	 	 
50	 	 	 	853.40163	339.51980	 	880.85135	671.07432	*	868.48792	679.08322	 	855.36604	323.82346	 	 	 	 	 	 	 
51	 	 	 	854.17813	337.31498	 	879.68364	671.36574	 	865.01166	677.67116	 	854.93490	322.71109	 	 	 	 	 	 	 
52	 	 	 	853.89886	337.67863	 	879.65902	671.33443	 	865.09369	678.32010	 	855.55315	322.46849	 	 	 	 	 	 	 
53	 	 	 	 	 	 	881.69718	670.52113	 	866.43573	675.77148	 	855.26127	325.41053	 	 	 	 	 	 	 
54	 	 	 	 	 	 	 	 	 	868.14375	678.10968	 	855.26297	326.27248	 	 	 	 	 	 	 
55	 	 	 	 	 	 	 	 	 	870.20699	681.16917	 	853.53312	326.52106	 	 	 	 	 	 	 
56	 	 	 	 	 	 	 	 	 	872.32895	677.68719	 	854.30287	326.63309	 	 	 	 	 	 	 
57	 	 	 	 	 	 	 	 	 	874.38360	675.40134	 	856.86666	327.57746	 	 	 	 	 	 	 
58	 	 	 	 	 	 	 	 	 	876.92624	673.08863	 	855.83882	327.59218	 	 	 	 	 	 	 
59	 	 	 	 	 	 	 	 	 	874.82647	677.35163	 	858.83579	329.56549	 	 	 	 	 	 	 
60	 	 	 	 	 	 	 	 	 	870.92586	676.44963	 	857.71437	333.38322	 	 	 	 	 	 	 
61	 	 	 	 	 	 	 	 	 	872.26861	678.63553	 	858.40833	338.01589	 	 	 	 	 	 	 
62	 	 	 	 	 	 	 	 	 	873.50588	679.61512	 	850.95838	337.95459	 	 	 	 	 	 	 
63	 	 	 	 	 	 	 	 	 	873.29132	679.55645	 	850.77922	340.69357	 	860.36445	330.98763	 	 	 	 
64	 	 	 	 	 	 	 	 	 	874.07162	673.89304	 	850.75389	341.94902	 	859.97994	330.88701	 	 	 	 
65	 	 	 	 	 	 	 	 	 	869.70317	675.69477	 	853.04166	342.33189	 	858.91120	330.58301	 	 	 	 
66	 	 	 	 	 	 	 	 	 	870.26608	675.16810	 	852.30838	343.00133	 	857.42765	331.01504	 	 	 	 
67	 	 	 	 	 	 	 	 	 	871.94999	675.18892	 	850.72123	341.45821	 	858.77565	331.24576	 	 	 	 
68	 	 	 	 	 	 	 	 	 	872.72328	676.19194	 	852.79684	340.51569	 	859.45106	330.83936	 	 	 	 
69	 	 	 	 	 	 	 	 	 	873.98694	675.61874	 	851.84054	341.89922	 	856.49398	331.00383	 	 	 	 
70	 	 	 	 	 	 	 	 	 	875.00338	673.63666	 	851.36864	342.33508	 	857.27150	331.05910	 	 	 	 
71	 	 	 	 	 	 	 	 	 	872.74660	675.26718	 	852.32523	342.25090	 	857.24937	330.86646	 	 	 	 
72	 	 	 	 	 	 	 	 	 	879.02957	670.96621	 	854.23222	340.54830	 	 	 	 	 	 	 
73	 	 	 	 	 	 	 	 	 	881.57902	668.32602	 	854.05254	343.28027	 	856.23446	330.90873	*	 	 	 
74	 	 	 	 	 	 	 	 	 	881.43099	670.09430	 	853.71633	344.35486	 	857.13606	331.45409	 	 	 	 
75	 	 	 	 	 	 	 	 	 	880.48978	671.83882	 	854.28624	344.24700	 	857.69348	330.35478	 	 	 	 
76	 	 	 	 	 	 	 	 	 	880.37137	672.53486	 	852.13909	346.16731	 	856.81605	331.56409	 	 	 	 
