Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11
Tracks 1 to 11
31	 	 	 	 	 	 	102.40696	285.51209	 	848.34413	797.08874	 	128.77658	272.55820	 	844.30084	795.88424	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
32	 	 	 	 	 	 	102.75935	283.61015	 	852.81425	796.03083	 	130.26888	272.75936	 	848.75609	794.89299	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
33	 	 	 	 	 	 	106.04125	288.65860	 	 	 	 	126.17725	267.79764	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
34	 	 	 	 	 	 	 	 	 	851.15046	800.28933	*	 	 	 	842.48199	798.29823	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
35	 	 	 	 	 	 	101.36770	285.66730	*	849.00256	801.34000	 	128.86807	274.20615	*	841.78395	799.17888	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
36	 	 	 	 	 	 	101.35443	285.90663	 	847.11083	798.15701	 	127.54145	272.28972	 	840.21574	796.80834	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
37	 	 	 	 	 	 	101.74459	284.74270	 	851.47908	795.22288	 	130.92315	277.26029	 	845.30939	793.86744	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38	 	 	 	 	 	 	100.42121	286.25171	 	849.49903	798.04394	 	129.03098	276.49914	 	843.08030	796.30793	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
39	 	 	 	 	 	 	102.85920	286.09755	 	850.06602	794.10473	 	127.03665	270.28652	 	843.04157	792.92267	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40	 	 	 	 	 	 	99.85656	287.13789	 	847.76576	790.50824	 	126.78616	273.55347	 	840.26141	789.43516	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41	 	 	 	 	 	 	99.38254	288.68349	 	845.14415	790.01211	 	121.17110	269.23135	 	839.12402	788.92384	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
42	 	 	 	 	 	 	99.13331	288.20390	 	845.45968	790.43145	 	120.93980	269.08427	 	839.61428	789.33407	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
